ID;Package name;Clone dir;Commit hash;N. Releases;Commit date; Avg time interval
34;platformio;platformio-core;798b12ce7b097fdcb5056d84054fe157aa12a9ff;11;2019-10-24;194
168;pycrypto;pycryptodome;8dbe0dc3eea5c689d4f76b37b93fe216cf1f00d4;83;2014-02-21;1575
60;pyinstaller;pyinstaller;42a67148b3bdf9211fda8499fdc5b63acdd7e6cc;2;2020-01-05;109
119;pykmip;PyKMIP;06c960236bcaf6717fc5cf66cf8b5179804c5a05;4;2018-04-24;383
159;oic;pyoidc;64665112587ef43a57cb09442dd5dd3d175f583e;14;2017-05-24;545
108;pypiserver;pypiserver;1375a67c55a9b8d4619df30d2a1c0b239d7357e6;8;2019-01-24;317
43;pyramid;pyramid;d0f62591ceb2f6ba6efe98ccf75703e7baee687e;122;2011-05-27;1125
161;pyramid;pyramid;67efda77a878450c217b90370e1a47e2d35d772a;10;2015-04-19;336
173;certifi;python-certifi;4f35e3529c78ced74040cf5d80bf8ec4aac9a190;18;2017-04-17;606
169;python-keystoneclient;python-keystoneclient;f2e0818b;87;2013-05-20;1071
222;python-keystoneclient;python-keystoneclient;8fe7a822d3fd9f435bb4a73a838b380659196cf7;87;2013-05-28;1063
158;markdown2;python-markdown2;1b1dcdd727c0ef03453b9f5ef5ae3679f1d72323;5;2018-09-25;333
32;rsa;python-rsa;93af6f2f89a9bf28361e67716c4240e691520f30;5;2020-06-03;8
217;rsa;python-rsa;2310b34bdb530e0bad793d42f589c9f848ff181b;11;2016-01-22;1122
228;rsa;python-rsa;1681a0b2f84a4a252c71b87de870a2816de06fdf;11;2016-01-22;1122
53;pyyaml;pyyaml;5080ba513377b6355a0502104846ee804656f1e0;1;2020-03-17;1
144;pyyaml;pyyaml;bbcf95fa051fdba9bbf879332e2f7999b195cf95;19;2017-08-26;596
165;recurly;recurly-client-python;049c74699ce93cf126feff06d632ea63fba36742;37;2017-11-08;543
213;rply;rply;fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c;7;2014-01-17;799
146;salt;salt;6e34c2b5e5e849302af7ccd00509929c3809c658;70;2017-04-10;755
153;salt;salt;22d2f7a1ec93300c34e8c42d14ec39d51e610b5c;138;2015-03-25;944
92;scapy;scapy;0d7ae2b039f650a40e511d09eb961c782da025d9;10;2018-05-11;495
100;scapy;scapy;905c80d6ed435477224c53de8850f763b04d495d;10;2018-05-11;495
