ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.21.4;2015-05-30;2016-03-13;288
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.21.5;2015-05-30;2016-03-22;297
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.21.6;2015-05-30;2016-05-05;340
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0;2015-05-30;2016-07-15;410
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b0;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b1;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b2;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b3;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b4;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b5;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.0b6;2015-05-30;2016-07-14;409
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.1;2015-05-30;2016-07-16;411
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.2;2015-05-30;2016-07-23;418
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.3;2015-05-30;2016-07-26;421
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.4;2015-05-30;2016-07-28;423
