Package name;GitHub URL
google-cloud-bigquery;https://github.com/googleapis/python-bigquery
gitpython;https://github.com/gitpython-developers/gitpython
dill;https://github.com/uqfoundation/dill
pathlib2;https://github.com/mcmtroffaes/pathlib2
toml;https://github.com/uiri/toml
multidict;https://github.com/aio-libs/multidict
contextlib2;https://github.com/jazzband/contextlib2
isort;https://github.com/pycqa/isort
funcsigs;https://github.com/testing-cabal/funcsigs
sqlparse;https://github.com/andialbrecht/sqlparse
pymongo;https://github.com/mongodb/mongo-python-driver
mistune;https://github.com/lepture/mistune
docopt;https://github.com/docopt/docopt
jupyter-client;https://github.com/jupyter/jupyter_client
nbconvert;https://github.com/jupyter/nbconvert
requests-toolbelt;https://github.com/requests/toolbelt
notebook;https://github.com/jupyter/notebook
testpath;https://github.com/jupyter/testpath
pandocfilters;https://github.com/jgm/pandocfilters
pyarrow;https://github.com/apache/arrow
terminado;https://github.com/jupyter/terminado
send2trash;https://github.com/arsenetar/send2trash
oauth2client;https://github.com/googleapis/oauth2client
babel;https://github.com/python-babel/babel
pytest-cov;https://github.com/pytest-dev/pytest-cov
azure-storage-common;https://github.com/azure/azure-storage-python
retrying;https://github.com/rholder/retrying
jedi;https://github.com/davidhalter/jedi
aiohttp;https://github.com/aio-libs/aiohttp
scandir;https://github.com/benhoyt/scandir
parso;https://github.com/davidhalter/parso
astroid;https://github.com/pycqa/astroid
gast;https://github.com/serge-sans-paille/gast
async-timeout;https://github.com/aio-libs/async-timeout
pylint;https://github.com/pycqa/pylint
keras-preprocessing;https://github.com/keras-team/keras-preprocessing
yarl;https://github.com/aio-libs/yarl
adal;https://github.com/azuread/azure-activedirectory-library-for-python
networkx;https://github.com/networkx/networkx
zope-interface;https://github.com/zopefoundation/zope.interface
django;https://github.com/django/django
ujson;https://github.com/ultrajson/ultrajson
py4j;https://github.com/bartdag/py4j
keras-applications;https://github.com/keras-team/keras-applications
pymysql;https://github.com/pymysql/pymysql
datadog;https://github.com/datadog/datadogpy
cloudpickle;https://github.com/cloudpipe/cloudpickle
qtconsole;https://github.com/jupyter/qtconsole
dnspython;https://github.com/rthalley/dnspython
mako;https://github.com/sqlalchemy/mako
jupyter;https://github.com/jupyter/jupyter
tensorflow-metadata;https://github.com/tensorflow/metadata
xlrd;https://github.com/python-excel/xlrd
pycrypto;https://github.com/pycrypto/pycrypto
astor;https://github.com/berkerpeksag/astor
backcall;https://github.com/takluyver/backcall
backports-functools-lru-cache;https://github.com/jaraco/backports.functools_lru_cache
cython;https://github.com/cython/cython
azure-devops;https://github.com/microsoft/azure-devops-python-api
pycryptodomex;https://github.com/legrandin/pycryptodome
msgpack;https://github.com/msgpack/msgpack-python
greenlet;https://github.com/python-greenlet/greenlet
smart-open;https://github.com/rare-technologies/smart_open
xmltodict;https://github.com/martinblech/xmltodict
google-pasta;https://github.com/google/pasta
backports-shutil-get-terminal-size;https://github.com/chrippa/backports.shutil_get_terminal_size
google-cloud-logging;https://github.com/googleapis/python-logging
elasticsearch;https://github.com/elastic/elasticsearch-py
tensorflow-transform;https://github.com/tensorflow/transform
python-editor;https://github.com/fmoo/python-editor
ansible;https://github.com/ansible/ansible
gitdb2;https://github.com/gitpython-developers/gitdb
tzlocal;https://github.com/regebro/tzlocal
msrestazure;https://github.com/azure/msrestazure-for-python
distro;https://github.com/nir0s/distro
importlib-resources;https://github.com/python/importlib_resources
grpc-google-iam-v1;https://github.com/googleapis/googleapis
jsonpickle;https://github.com/jsonpickle/jsonpickle
backports-abc;https://github.com/cython/backports_abc
functools32;https://github.com/michilu/python-functools32
ruamel-yaml;https://github.com/commx/ruamel-yaml
pyspark;https://github.com/apache/spark
websockets;https://github.com/aaugustin/websockets
nltk;https://github.com/nltk/nltk
gevent;https://github.com/gevent/gevent
gensim;https://github.com/rare-technologies/gensim
cached-property;https://github.com/pydanny/cached-property
s3fs;https://github.com/dask/s3fs
monotonic;https://github.com/atdt/monotonic
singledispatch;https://github.com/jaraco/singledispatch
smmap2;https://github.com/gitpython-developers/smmap
pathspec;https://github.com/cpburnz/python-path-specification
marshmallow;https://github.com/marshmallow-code/marshmallow
tfx-bsl;https://github.com/tensorflow/tfx-bsl
nose;https://github.com/nose-devs/nose
subprocess32;https://github.com/google/python-subprocess32
slackclient;https://github.com/slackapi/python-slack-sdk
selenium;https://github.com/seleniumhq/selenium
opencv-python;https://github.com/opencv/opencv-python
html5lib;https://github.com/html5lib/html5lib-python
qtpy;https://github.com/spyder-ide/qtpy
pytest-runner;https://github.com/pytest-dev/pytest-runner
applicationinsights;https://github.com/microsoft/applicationinsights-python
toolz;https://github.com/pytoolz/toolz
mypy;https://github.com/python/mypy
xlsxwriter;https://github.com/jmcnamara/xlsxwriter
sentry-sdk;https://github.com/getsentry/sentry-python
snowballstemmer;https://github.com/snowballstem/snowball
pandas-gbq;https://github.com/pydata/pandas-gbq
sortedcontainers;https://github.com/grantjenks/python-sortedcontainers
text-unidecode;https://github.com/kmike/text-unidecode
xgboost;https://github.com/dmlc/xgboost
amqp;https://github.com/celery/py-amqp
netaddr;https://github.com/netaddr/netaddr
tensorflow-model-analysis;https://github.com/tensorflow/model-analysis
kubernetes;https://github.com/kubernetes-client/python
tensorflow-data-validation;https://github.com/tensorflow/data-validation
fsspec;https://github.com/intake/filesystem_spec
pydata-google-auth;https://github.com/pydata/pydata-google-auth
thrift;https://github.com/apache/thrift
keras;https://github.com/keras-team/keras
plotly;https://github.com/plotly/plotly.py
celery;https://github.com/celery/celery
snowflake-connector-python;https://github.com/snowflakedb/snowflake-connector-python
ijson;https://github.com/icrar/ijson
billiard;https://github.com/celery/billiard
jdcal;https://github.com/phn/jdcal
mysqlclient;https://github.com/pymysql/mysqlclient
sphinx;https://github.com/sphinx-doc/sphinx
unidecode;https://github.com/avian2/unidecode
google-cloud-pubsub;https://github.com/googleapis/python-pubsub
virtualenv-clone;https://github.com/edwardgeorge/virtualenv-clone
gcsfs;https://github.com/dask/gcsfs
mypy-extensions;https://github.com/python/mypy_extensions
djangorestframework;https://github.com/encode/django-rest-framework
tox;https://github.com/tox-dev/tox
lightgbm;https://github.com/microsoft/lightgbm
argcomplete;https://github.com/kislyuk/argcomplete
shapely;https://github.com/toblerity/shapely
oscrypto;https://github.com/wbond/oscrypto
opt-einsum;https://github.com/dgasmith/opt_einsum
arrow;https://github.com/arrow-py/arrow
pyodbc;https://github.com/mkleehammer/pyodbc
statsmodels;https://github.com/statsmodels/statsmodels
databricks-cli;https://github.com/databricks/databricks-cli
vine;https://github.com/celery/vine
pipenv;https://github.com/pypa/pipenv
ecdsa;https://github.com/tlsfuzzer/python-ecdsa
black;https://github.com/psf/black
docker-pycreds;https://github.com/shin-/dockerpy-creds
fasteners;https://github.com/harlowja/fasteners
alabaster;https://github.com/bitprophet/alabaster
imagesize;https://github.com/shibukawa/imagesize_py
python-jose;https://github.com/mpdavis/python-jose
graphviz;https://github.com/xflr6/graphviz
dask;https://github.com/dask/dask
pytest-mock;https://github.com/pytest-dev/pytest-mock
pyhamcrest;https://github.com/hamcrest/pyhamcrest
pytest-forked;https://github.com/pytest-dev/pytest-forked
backports-weakref;https://github.com/pidelport/backports.weakref
imageio;https://github.com/imageio/imageio
scikit-image;https://github.com/scikit-image/scikit-image
hdfs;https://github.com/mtth/hdfs
tenacity;https://github.com/jd/tenacity
iso8601;https://github.com/micktwomey/pyiso8601
setuptools-scm;https://github.com/pypa/setuptools_scm
flask-cors;https://github.com/corydolphin/flask-cors
inflection;https://github.com/jpvanhal/inflection
python-dotenv;https://github.com/theskumar/python-dotenv
discord-py;https://github.com/rapptz/discord.py
twisted;https://github.com/twisted/twisted
hvac;https://github.com/hvac/hvac
flask-sqlalchemy;https://github.com/pallets/flask-sqlalchemy
aliyun-python-sdk-core;https://github.com/aliyun/aliyun-openapi-python-sdk
unicodecsv;https://github.com/jdunck/python-unicodecsv
fastavro;https://github.com/fastavro/fastavro
incremental;https://github.com/twisted/incremental
secretstorage;https://github.com/mitya57/secretstorage
google-cloud-datastore;https://github.com/googleapis/python-datastore
execnet;https://github.com/pytest-dev/execnet
pywavelets;https://github.com/pywavelets/pywt
faker;https://github.com/joke2k/faker
aliyunsdkcore;https://github.com/duangy/aliyunsdkcore
google-cloud-bigtable;https://github.com/googleapis/python-bigtable
apipkg;https://github.com/pytest-dev/apipkg
raven;https://github.com/getsentry/raven-python
seaborn;https://github.com/mwaskom/seaborn
constantly;https://github.com/twisted/constantly
texttable;https://github.com/foutaise/texttable
automat;https://github.com/glyph/automat
bottle;https://github.com/bottlepy/bottle
hyperlink;https://github.com/python-hyper/hyperlink
pytest-xdist;https://github.com/pytest-dev/pytest-xdist
s3cmd;https://github.com/s3tools/s3cmd
blessings;https://github.com/erikrose/blessings
patsy;https://github.com/pydata/patsy
ua-parser;https://github.com/ua-parser/uap-python
python-magic;https://github.com/ahupp/python-magic
querystring-parser;https://github.com/bernii/querystring-parser
azure-datalake-store;https://github.com/azure/azure-data-lake-store-python
pendulum;https://github.com/sdispater/pendulum
jsonpointer;https://github.com/stefankoegl/python-json-pointer
mlflow;https://github.com/mlflow/mlflow
humanfriendly;https://github.com/xolox/python-humanfriendly
responses;https://github.com/getsentry/responses
ndg-httpsclient;https://github.com/cedadev/ndg_httpsclient
pytzdata;https://github.com/sdispater/pytzdata
prettytable;https://github.com/jazzband/prettytable
keyring;https://github.com/jaraco/keyring
fuzzywuzzy;https://github.com/seatgeek/fuzzywuzzy
dockerpty;https://github.com/d11wtq/dockerpty
retry;https://github.com/invl/retry
deprecated;https://github.com/tantale/deprecated
pydot;https://github.com/pydot/pydot
cssselect;https://github.com/scrapy/cssselect
service-identity;https://github.com/pyca/service-identity
watchdog;https://github.com/gorakhargosh/watchdog
freezegun;https://github.com/spulec/freezegun
docker-compose;https://github.com/docker/compose
maxminddb;https://github.com/maxmind/maxmind-db-reader-python
configobj;https://github.com/diffsk/configobj
statsd;https://github.com/jsocol/pystatsd
blinker;https://github.com/jek/blinker
python-levenshtein;https://github.com/ztane/python-levenshtein
backoff;https://github.com/litl/backoff
jsonpatch;https://github.com/stefankoegl/python-json-patch
geopy;https://github.com/geopy/geopy
python-json-logger;https://github.com/madzak/python-json-logger
google-gax;https://github.com/googleapis/gax-python
deepdiff;https://github.com/seperman/deepdiff
gorilla;https://github.com/christophercrouzet/gorilla
kafka-python;https://github.com/dpkp/kafka-python
readme-renderer;https://github.com/pypa/readme_renderer
google-apitools;https://github.com/google/apitools
netifaces;https://github.com/al45tair/netifaces
wtforms;https://github.com/wtforms/wtforms
bz2file;https://github.com/nvawda/bz2file
tldextract;https://github.com/john-kurkowski/tldextract
cachecontrol;https://github.com/ionrock/cachecontrol
geoip2;https://github.com/maxmind/geoip2-python
colorlog;https://github.com/borntyping/python-colorlog
jsondiff;https://github.com/xlwings/jsondiff
autopep8;https://github.com/hhatto/autopep8
uwsgi;https://github.com/unbit/uwsgi-docs
requests-file;https://github.com/dashea/requests-file
semantic-version;https://github.com/rbarrois/python-semanticversion
pyhive;https://github.com/dropbox/pyhive
django-cors-headers;https://github.com/adamchainz/django-cors-headers
idna-ssl;https://github.com/aio-libs/idna-ssl
asgiref;https://github.com/django/asgiref
google-cloud;https://github.com/googleapis/google-cloud-python
pathtools;https://github.com/gorakhargosh/pathtools
torch;https://github.com/pytorch/pytorch
pyproj;https://github.com/pyproj4/pyproj
sendgrid;https://github.com/sendgrid/sendgrid-python
croniter;https://github.com/kiorky/croniter
zope-deprecation;https://github.com/zopefoundation/zope.deprecation
pytest-timeout;https://github.com/pytest-dev/pytest-timeout
llvmlite;https://github.com/numba/llvmlite
python-http-client;https://github.com/sendgrid/python-http-client
elasticsearch-dsl;https://github.com/elastic/elasticsearch-dsl-py
uvloop;https://github.com/magicstack/uvloop
django-filter;https://github.com/carltongibson/django-filter
pysocks;https://github.com/anorov/pysocks
munch;https://github.com/infinidat/munch
pyserial;https://github.com/pyserial/pyserial
numba;https://github.com/numba/numba
graphql-core;https://github.com/graphql-python/graphql-core
django-extensions;https://github.com/django-extensions/django-extensions
azure-cosmosdb-table;https://github.com/azure/azure-cosmos-table-python
scp;https://github.com/jbardin/scp.py
user-agents;https://github.com/selwin/python-user-agents
pycurl;https://github.com/pycurl/pycurl
aws-xray-sdk;https://github.com/aws/aws-xray-sdk-python
rfc3986;https://github.com/python-hyper/rfc3986
tblib;https://github.com/ionelmc/python-tblib
jpype1;https://github.com/jpype-project/jpype
flask-wtf;https://github.com/lepture/flask-wtf
voluptuous;https://github.com/alecthomas/voluptuous
portalocker;https://github.com/wolph/portalocker
nodeenv;https://github.com/ekalinin/nodeenv
python-slugify;https://github.com/un33k/python-slugify
sphinx-rtd-theme;https://github.com/readthedocs/sphinx_rtd_theme
pika;https://github.com/pika/pika
identify;https://github.com/pre-commit/identify
gspread;https://github.com/burnash/gspread
holidays;https://github.com/dr-prodigy/python-holidays
sh;https://github.com/amoffat/sh
webob;https://github.com/pylons/webob
pymssql;https://github.com/pymssql/pymssql
promise;https://github.com/syrusakbary/promise
pre-commit;https://github.com/pre-commit/pre-commit
codecov;https://github.com/codecov/codecov-python
python-pam;https://github.com/firefighterblu3/python-pam
pywin32;https://github.com/mhammond/pywin32
cerberus;https://github.com/pyeve/cerberus
hiredis;https://github.com/redis/hiredis-py
requests-aws4auth;https://github.com/tedder/requests-aws4auth
cfgv;https://github.com/asottile/cfgv
spacy;https://github.com/explosion/spacy
configargparse;https://github.com/bw2/configargparse
ipdb;https://github.com/gotcha/ipdb
argh;https://github.com/neithere/argh
prometheus-flask-exporter;https://github.com/rycus86/prometheus_flask_exporter
flask-login;https://github.com/maxcountryman/flask-login
dataclasses;https://github.com/ericvsmith/dataclasses
pyaml;https://github.com/mk-fg/pretty-yaml
thinc;https://github.com/explosion/thinc
google-cloud-spanner;https://github.com/googleapis/python-spanner
h11;https://github.com/python-hyper/h11
factory-boy;https://github.com/factoryboy/factory_boy
sqlalchemy-utils;https://github.com/kvesteri/sqlalchemy-utils
lz4;https://github.com/python-lz4/python-lz4
preshed;https://github.com/explosion/preshed
influxdb;https://github.com/influxdata/influxdb-python
jira;https://github.com/pycontribs/jira
newrelic;https://github.com/newrelic/newrelic-python-agent
datetime;https://github.com/zopefoundation/datetime
aws-sam-translator;https://github.com/aws/serverless-application-model
murmurhash;https://github.com/explosion/murmurhash
requests-mock;https://github.com/jamielennox/requests-mock
moto;https://github.com/spulec/moto
coloredlogs;https://github.com/xolox/python-coloredlogs
django-storages;https://github.com/jschneier/django-storages
multiprocess;https://github.com/uqfoundation/multiprocess
simple-salesforce;https://github.com/simple-salesforce/simple-salesforce
cymem;https://github.com/explosion/cymem
aenum;https://github.com/ethanfurman/aenum
python3-openid;https://github.com/necaris/python3-openid
pyrfc3339;https://github.com/kurtraschke/pyrfc3339
plac;https://github.com/ialbert/plac
shellingham;https://github.com/sarugaku/shellingham
stripe;https://github.com/stripe/stripe-python
phonenumbers;https://github.com/daviddrysdale/python-phonenumbers
pyglet;https://github.com/pyglet/pyglet
flask-restful;https://github.com/flask-restful/flask-restful
waitress;https://github.com/pylons/waitress
google-cloud-monitoring;https://github.com/googleapis/python-monitoring
twine;https://github.com/pypa/twine
setproctitle;https://github.com/dvarrazzo/py-setproctitle
pytest-django;https://github.com/pytest-dev/pytest-django
cfn-lint;https://github.com/aws-cloudformation/cfn-python-lint
blis;https://github.com/explosion/cython-blis
bokeh;https://github.com/bokeh/bokeh
ddtrace;https://github.com/datadog/dd-trace-py
youtube-dl;https://github.com/ytdl-org/youtube-dl
srsly;https://github.com/explosion/srsly
pygithub;https://github.com/pygithub/pygithub
appnope;https://github.com/minrk/appnope
httptools;https://github.com/magicstack/httptools
zope-event;https://github.com/zopefoundation/zope.event
aiofiles;https://github.com/tinche/aiofiles
watchtower;https://github.com/kislyuk/watchtower
yamllint;https://github.com/adrienverge/yamllint
pydocumentdb;https://github.com/azure/azure-cosmos-python
threadpoolctl;https://github.com/joblib/threadpoolctl
parsedatetime;https://github.com/bear/parsedatetime
fabric;https://github.com/fabric/fabric
pydocstyle;https://github.com/pycqa/pydocstyle
numexpr;https://github.com/pydata/numexpr
