package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
coverage;130503844;https://github.com/nedbat/coveragepy;1538;2021-03-21;145;11;213;783;100;44;89;134129;7707
scikit-learn;132922315;https://github.com/scikit-learn/scikit-learn;44934;2021-03-21;209;33;1600;6768;100;3;1939;196259;5448
pyrsistent;177833269;https://github.com/tobgu/pyrsistent;1507;2020-11-30;6;;27;109;100;82;44;75467;298
itsdangerous;133782662;https://github.com/pallets/itsdangerous;2153;2021-03-15;3;;0;92;90;155;33;390323;690
wrapt;148382768;https://github.com/grahamdumpleton/wrapt;1454;2020-03-12;5;;44;76;76;49;15;;
pillow;176722628;https://github.com/python-pillow/pillow;8327;2021-03-21;108;44;201;1921;100;10;311;416907;6751
google-cloud-storage;157954327;https://github.com/googleapis/python-storage;88;2021-03-11;36;8;27;158;100;18;61;25219;491
virtualenv;110460318;https://github.com/pypa/virtualenv;3821;2021-03-17;3;22;56;1061;100;5;46;;
ipaddress;91513589;https://github.com/phihag/ipaddress;89;2019-10-18;1;;6;34;34;13;6;25304;453
websocket-client;145889749;https://github.com/websocket-client/websocket-client;2523;2021-03-08;7;64;91;328;100;319;155;34019;910
pyopenssl;150010165;https://github.com/pyca/pyopenssl;704;2021-03-19;24;;57;355;100;185;80;;
sqlalchemy;143212914;https://github.com/sqlalchemy/sqlalchemy;3505;2021-03-21;490;3;152;5581;100;0;408;244341;4763
entrypoints;127254680;https://github.com/takluyver/entrypoints;61;2020-03-15;0;;2;20;20;19;8;;
google-resumable-media;158347719;https://github.com/googleapis/google-resumable-media-python;29;2021-02-13;6;57;11;54;54;131;22;10359;55
joblib;150287251;https://github.com/joblib/joblib;2384;2021-03-18;10;;253;356;100;57;92;87173;1478
lxml;168759075;https://github.com/lxml/lxml;1836;2021-03-21;46;;;;;;112;155626;5894
configparser;100637316;https://github.com/jaraco/configparser;24;2021-02-28;15;32;1;51;51;215;11;;
prompt-toolkit;124007972;https://github.com/prompt-toolkit/python-prompt-toolkit;6933;2021-03-19;29;;361;478;100;41;161;136162;748
asn1crypto;68935389;https://github.com/wbond/asn1crypto;223;2020-11-01;10;;24;110;100;56;26;74518;306
