Package name;Final URL
opencensus-context;https://github.com/census-instrumentation/opencensus-python
tensorflow-tensorboard;https://github.com/tensorflow/tensorboard
tb-nightly;https://github.com/tensorflow/tensorboard
azure-eventhub;https://github.com/azure/azure-sdk-for-python
kafka;https://github.com/dpkp/kafka-python
azure-mgmt-hdinsight;https://github.com/azure/azure-sdk-for-python
flake8-docstrings;https://github.com/pycqa/pydocstyle
azure-mgmt-netapp;https://github.com/azure/azure-sdk-for-python
phonenumberslite;https://github.com/daviddrysdale/python-phonenumbers
azure-mgmt-sqlvirtualmachine;https://github.com/azure/azure-sdk-for-python
azure-mgmt-deploymentmanager;https://github.com/azure/azure-sdk-for-python
azure-mgmt-appconfiguration;https://github.com/azure/azure-sdk-for-python
azure-mgmt-security;https://github.com/azure/azure-sdk-for-python
azure-mgmt-kusto;https://github.com/azure/azure-sdk-for-python
azure-cli-command-modules-nspkg;https://github.com/azure/azure-cli
azure-mgmt-imagebuilder;https://github.com/azure/azure-sdk-for-python
azure-mgmt-privatedns;https://github.com/azure/azure-sdk-for-python
azure-mgmt-botservice;https://github.com/azure/azure-sdk-for-python
azure-mgmt-apimanagement;https://github.com/azure/azure-sdk-for-python
azure-mgmt-managedservices;https://github.com/azure/azure-sdk-for-python
tf-estimator-nightly;https://github.com/tensorflow/estimator
opencv-python-headless;https://github.com/opencv/opencv-python
gapic-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis
proto-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis
django-rest-framework;https://github.com/encode/django-rest-framework
opencensus-ext-azure;https://github.com/census-instrumentation/opencensus-python
azure-keyvault-secrets;https://github.com/azure/azure-sdk-for-python
azure-storage-file-datalake;https://github.com/azure/azure-sdk-for-python
ur-rtde;https://github.com/pybind/pybind11
chart-studio;https://github.com/plotly/plotly.py
grpc-google-logging-v2;https://github.com/googleapis/googleapis
grpc-google-pubsub-v1;https://github.com/googleapis/googleapis
gax-google-logging-v2;https://github.com/googleapis/googleapis
gax-google-pubsub-v1;https://github.com/googleapis/googleapis
proto-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis
