package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
imbalanced-learn;5798232;https://github.com/scikit-learn-contrib/imbalanced-learn;4638;2020-08-17;9;84;26;381;100;29;48;2477;61;https://libraries.io/pypi/imbalanced-learn;15;3;140
hstspreload;5791901;https://github.com/sethmlarson/hstspreload;7;2020-08-18;8;;2;4;4;24;4;1038;6;https://libraries.io/pypi/hstspreload;11;2;18
flask-jwt-extended;5776548;https://github.com/vimalloc/flask-jwt-extended;989;2020-06-21;9;20;14;240;100;19;57;7711;55;https://libraries.io/pypi/Flask-JWT-Extended;18;23;575
basictracer;5761033;https://github.com/opentracing/basictracer-python;23;2020-08-17;1;112;3;7;7;187;14;;;https://libraries.io/pypi/basictracer;11;3;27
async-generator;5758028;https://github.com/python-trio/async_generator;72;2018-08-01;2;;3;9;9;51;5;;;https://libraries.io/pypi/async_generator;14;10;81
httpx;5755837;https://github.com/encode/httpx;5440;2020-08-21;51;10;36;419;100;10;88;1681;273;https://libraries.io/pypi/httpx;14;95;32
jsmin;5736594;;;;;;;;;;;;;https://libraries.io/pypi/jsmin;11;5;1150
mpmath;5672566;;;;;;;;;;;;;https://libraries.io/pypi/mpmath;11;29;1460
anyjson;5668406;;;;;;;;;;;;;https://libraries.io/pypi/anyjson;11;17;5180
tempora;5659361;https://github.com/jaraco/tempora;6;2020-07-18;8;;0;12;12;14;8;;;https://libraries.io/pypi/tempora;15;14;260
google-cloud-error-reporting;5632508;https://github.com/googleapis/python-error-reporting;0;2020-08-13;23;11;1;3;3;36;35;;;https://libraries.io/pypi/google-cloud-error-reporting;14;3;182
altgraph;5618559;https://github.com/ronaldoussoren/altgraph;4;2020-02-02;22;;2;11;11;151;2;;;https://libraries.io/pypi/altgraph;9;12;1280
googledatastore;5614478;https://github.com/GoogleCloudPlatform/google-cloud-datastore;199;2020-06-08;2;;47;121;100;283;28;;;https://libraries.io/pypi/googledatastore;11;0;33
plumbum;5609560;https://github.com/conda-forge/plumbum-feedstock;1;2020-08-08;;;0;0;;;3;;;https://libraries.io/pypi/plumbum;13;50;310
olefile;5609533;https://github.com/decalage2/olefile;129;2020-05-03;7;520;40;38;38;593;19;;;https://libraries.io/pypi/olefile;11;24;5850
pypiwin32;5566745;;;;;;;;;;;;;https://libraries.io/pypi/pypiwin32;8;0;635
backports-csv;5563899;https://github.com/ryanhiebert/backports.csv;58;2020-06-23;;;2;18;18;14;8;;;https://libraries.io/pypi/backports.csv;12;10;74
testfixtures;5547373;https://github.com/Simplistix/testfixtures;173;2020-05-17;8;;0;74;74;42;20;;;https://libraries.io/pypi/testfixtures;17;22;1320
pulp;5544941;https://github.com/coin-or/pulp;885;2020-08-04;4;152;17;204;100;153;43;1021;75;https://libraries.io/pypi/PuLP;17;21;207
cairocffi;5536538;https://github.com/Kozea/cairocffi;174;2020-06-21;3;;12;112;100;188;22;;;https://libraries.io/pypi/cairocffi;17;4;680
utm;5525161;https://github.com/Turbo87/utm;202;2019-07-08;1;214;9;19;18;86;12;909;59;https://libraries.io/pypi/utm;14;4;126
rospkg;5524275;;;;;;;;;;;;;https://libraries.io/pypi/rospkg;11;7;201
cmd2;5523120;https://github.com/python-cmd2/cmd2;299;2020-08-20;75;17;14;395;100;14;30;1379;81;https://libraries.io/pypi/cmd2;16;33;416
portend;5497806;https://github.com/jaraco/portend;2;2020-02-28;5;;0;9;9;83;8;;;https://libraries.io/pypi/portend;14;5;149
flask-swagger;5471691;https://github.com/gangverk/flask-swagger;403;2020-05-12;1;221;14;12;11;28;18;1669;26;https://libraries.io/pypi/flask-swagger;15;7;309
terminaltables;5444460;https://github.com/Robpol86/terminaltables;654;2017-06-24;1;198;28;18;18;55;7;;;https://libraries.io/pypi/terminaltables;16;8;404
scrapy;5433941;https://github.com/scrapy/scrapy;38063;2020-08-21;66;39;451;1818;100;10;381;18562;368;https://libraries.io/pypi/Scrapy;24;127;4190
oslo-utils;5431295;;;;;;;;;;;;;https://libraries.io/pypi/oslo.utils;14;172;1970
s2sphere;5430731;https://github.com/sidewalklabs/s2sphere;167;2017-11-16;2;;13;4;4;36;4;;;https://libraries.io/pypi/s2sphere;9;0;1250
junit-xml;5424754;https://github.com/kyrus/python-junit-xml;74;2020-02-22;1;;14;16;15;74;12;1227;40;https://libraries.io/pypi/junit-xml;15;20;532
commonmark;5412958;https://github.com/rtfd/commonmark.py;190;2020-06-14;;134;12;29;;;26;;;https://libraries.io/pypi/commonmark;16;18;152
parse-type;5405194;https://github.com/jenisys/parse_type;7;2019-12-15;1;;4;8;8;62;2;;;https://libraries.io/pypi/parse-type;9;0;0
oslo-config;5387739;;;;;;;;;;;;;https://libraries.io/pypi/oslo.config;13;144;2610
bitarray;5386016;https://github.com/ilanschnell/bitarray;360;2020-08-20;9;;7;57;56;513;13;13658;147;https://libraries.io/pypi/bitarray;21;46;1380
aiodns;5384279;http://github.com/saghul/aiodns;337;2019-12-12;1;179;5;47;47;61;18;9053;195;https://libraries.io/pypi/aiodns;19;59;761
pylint-plugin-utils;5342194;https://github.com/landscapeio/pylint-plugin-utils;15;2019-09-27;;;1;5;;;8;;;https://libraries.io/pypi/pylint-plugin-utils;14;4;557
ntlm-auth;5338629;https://github.com/jborean93/ntlm-auth;39;2020-07-07;;132;0;10;10;17;4;1077;10;https://libraries.io/pypi/ntlm-auth;16;7;219
tensorflow-hub;5306008;https://github.com/tensorflow/hub;2518;2020-08-19;24;74;31;467;100;16;61;3263;74;https://libraries.io/pypi/tensorflow-hub;14;1;157
ruamel-ordereddict;5285890;;;;;;;;;;;;;https://libraries.io/pypi/ruamel.ordereddict;12;4;184
datashape;5277479;;;;;;;;;;;;;https://libraries.io/pypi/DataShape;8;0;514
flake8-polyfill;5256339;;;;;;;;;;;;;https://libraries.io/pypi/flake8-polyfill;14;8;538
cairosvg;5244128;;;;;;;;;;;;;https://libraries.io/pypi/CairoSVG;12;5;650
flask-restplus;5241967;https://github.com/noirbizarre/flask-restplus;2360;2020-01-13;10;;309;246;100;30;72;7377;107;https://libraries.io/pypi/flask-restplus;19;50;863
dogpile-cache;5239045;https://github.com/sqlalchemy/dogpile.cache;83;2020-08-12;;16;48;115;100;154;42;;;https://libraries.io/pypi/dogpile.cache;20;44;498
zc-lockfile;5222921;https://github.com/zopefoundation/zc.lockfile;11;2019-10-23;;;3;5;5;142;11;;;https://libraries.io/pypi/zc.lockfile;14;9;195
boltons;5208639;https://github.com/mahmoud/boltons;5220;2020-08-12;16;62;27;84;82;85;56;821;114;https://libraries.io/pypi/boltons;19;44;246
clikit;5208351;https://github.com/sdispater/clikit;49;2020-06-09;5;34;5;5;5;91;7;;;https://libraries.io/pypi/clikit;13;5;1
pynamodb;5206871;;;;;;;;;;;;;https://libraries.io/pypi/pynamodb;10;10;118
qrcode;5176500;https://github.com/lincolnloop/python-qrcode;2191;2020-03-26;2;;27;86;83;56;27;;;https://libraries.io/pypi/qrcode;19;44;2530
graphene;5167088;https://github.com/graphql-python/graphene;5946;2020-08-12;26;35;50;785;100;56;153;5833;138;https://libraries.io/pypi/graphene;21;54;683
fastparquet;5155997;https://github.com/dask/fastparquet;449;2020-08-19;10;;34;267;100;29;;;;https://libraries.io/pypi/fastparquet;16;5;147
unittest-xml-reporting;5137475;;;;;;;;;;;;;https://libraries.io/pypi/unittest-xml-reporting;17;11;771
tdigest;5136836;https://github.com/CamDavidsonPilon/tdigest;257;2019-05-07;1;660;6;20;20;103;11;;;https://libraries.io/pypi/tdigest;11;0;7
oslo-serialization;5099683;;;;;;;;;;;;;https://libraries.io/pypi/oslo.serialization;14;121;1580
paho-mqtt;5095157;;;;;;;;;;;;;https://libraries.io/pypi/paho-mqtt;14;123;1390
wandb;5088689;https://github.com/wandb/client;2207;2020-08-18;69;27;229;379;100;9;46;889;27;https://libraries.io/pypi/wandb;13;1;39
accumulation-tree;5078253;https://github.com/tkluck/accumulation_tree;9;2020-05-09;;;0;3;3;1;;;;https://libraries.io/pypi/accumulation-tree;8;0;1
pyudorandom;5073798;;;;;;;;;;;;;https://libraries.io/pypi/pyudorandom;6;0;2
google-cloud-translate;5038652;https://github.com/googleapis/python-translate;9;2020-08-11;33;12;3;11;11;11;40;1646;24;https://libraries.io/pypi/google-cloud-translate;15;5;215
pypika;5037865;https://github.com/kayak/pypika;893;2020-08-18;17;31;41;193;100;40;44;268;20;https://libraries.io/pypi/PyPika;15;9;19
ciso8601;5037404;https://github.com/closeio/ciso8601;420;2020-01-04;1;;12;29;29;208;19;461;62;https://libraries.io/pypi/ciso8601;17;16;94
google-cloud-videointelligence;5032911;https://github.com/googleapis/python-videointelligence;1;2020-07-01;18;10;2;4;4;17;21;661;11;https://libraries.io/pypi/google-cloud-videointelligence;15;0;113
flask-bcrypt;5027725;https://github.com/maxcountryman/flask-bcrypt;273;2020-03-28;;;7;27;25;204;20;18152;44;https://libraries.io/pypi/Flask-Bcrypt;13;9;2920
flask-openid;5003864;;;;;;;;;;;;;https://libraries.io/pypi/Flask-OpenID;14;3;1330
sortedcollections;4990633;https://github.com/grantjenks/python-sortedcollections;44;2020-06-07;;;1;8;8;19;2;;;https://libraries.io/pypi/sortedcollections;13;10;524
catalogue;4984692;https://github.com/explosion/catalogue;51;2020-05-22;7;26;2;0;;;5;;;https://libraries.io/pypi/catalogue;11;2;13
cfn-flip;4983869;https://github.com/awslabs/aws-cfn-template-flip;713;2020-04-29;4;;1;55;55;37;23;;;https://libraries.io/pypi/cfn-flip;16;7;51
statistics;4979354;https://github.com/digitalemagine/py-statistics;8;2017-03-16;;2136;2;3;3;75;;;;https://libraries.io/pypi/statistics;12;11;236
pycalverter;4938402;;;;;;;;;;;;;https://libraries.io/pypi/pyCalverter;6;0;7
python-swiftclient;4934725;https://github.com/openstack/swift;2088;2020-08-21;73;;;;;;305;;;https://libraries.io/pypi/python-swiftclient;13;47;1340
sshtunnel;4921594;https://github.com/pahaz/sshtunnel;694;2020-06-21;3;133;38;92;91;67;19;1344;82;https://libraries.io/pypi/sshtunnel;12;17;131
recommonmark;4907130;https://github.com/rtfd/recommonmark;299;2020-05-19;3;;91;32;;;34;7347;512;https://libraries.io/pypi/recommonmark;16;16;2840
tablib;4897264;https://github.com/jazzband/tablib;3755;2020-08-12;9;83;28;194;100;348;96;7343;118;https://libraries.io/pypi/tablib;20;27;1180
aioopenssl;4894089;https://github.com/horazont/aioopenssl;9;2020-04-10;;167;2;5;5;198;;;;https://libraries.io/pypi/aioopenssl;10;1;4
pyphen;4888691;https://github.com/Kozea/Pyphen;127;2020-04-13;;310;5;13;13;264;4;3392;33;https://libraries.io/pypi/Pyphen;13;4;400
pytest-rerunfailures;4881746;https://github.com/pytest-dev/pytest-rerunfailures;166;2020-08-01;2;;19;45;45;138;23;1633;63;https://libraries.io/pypi/pytest-rerunfailures;16;9;268
aiosasl;4881069;https://github.com/horazont/aiosasl;5;2020-05-15;;214;4;6;6;59;2;;;https://libraries.io/pypi/aiosasl;9;1;3
aioconsole;4873606;https://github.com/vxgmichel/aioconsole;289;2020-06-23;4;98;2;38;38;29;8;;;https://libraries.io/pypi/aioconsole;14;6;29
graphql-relay;4867065;https://github.com/graphql-python/graphql-relay-py;124;2020-06-03;2;225;8;12;12;154;8;4722;22;https://libraries.io/pypi/graphql-relay;16;6;448
fonttools;4865201;http://github.com/fonttools/fonttools;2388;2020-08-19;97;21;305;732;100;16;85;;;https://libraries.io/pypi/fonttools;16;28;65
email-validator;4858761;https://github.com/JoshData/python-email-validator;331;2020-08-07;1;389;3;28;28;91;10;;;https://libraries.io/pypi/email-validator;16;24;66
descartes;4853150;;;;;;;;;;;;;https://libraries.io/pypi/descartes;8;0;196
requests-ntlm;4841857;https://github.com/requests/requests-ntlm;241;2017-09-19;1;405;21;53;53;29;20;;;https://libraries.io/pypi/requests_ntlm;14;15;145
pyluach;4839113;https://github.com/simlist/pyluach;17;2020-08-14;3;752;2;3;3;9;2;;;https://libraries.io/pypi/pyluach;9;2;3
scikit-optimize;4822804;https://github.com/conda-forge/scikit-optimize-feedstock;2;2020-08-09;1;;0;2;2;71;7;;;https://libraries.io/pypi/scikit-optimize;16;8;80
python-docx;4809750;https://github.com/python-openxml/python-docx;2312;2019-06-10;11;;360;353;100;31;10;;;https://libraries.io/pypi/python-docx;16;29;492
coveralls;4805579;http://github.com/coveralls-clients/coveralls-python;431;2020-08-12;3;83;3;121;100;188;47;12932;1095;https://libraries.io/pypi/coveralls;21;51;8500
testtools;4800530;https://github.com/testing-cabal/testtools;86;2020-07-09;19;;29;57;57;122;41;;;https://libraries.io/pypi/testtools;18;20;4520
django-model-utils;4786434;;;;;;;;;;;;;https://libraries.io/pypi/django-model-utils;20;108;4600
google-cloud-speech;4784630;https://github.com/googleapis/python-speech;71;2020-08-13;36;9;11;7;7;9;26;1711;22;https://libraries.io/pypi/google-cloud-speech;14;6;238
numpy-stl;4779350;https://github.com/WoLpH/numpy-stl;282;2020-05-13;6;62;7;108;100;49;12;;;https://libraries.io/pypi/numpy-stl;14;1;77
natsort;4770836;https://github.com/SethMMorton/natsort;388;2020-04-26;8;;3;56;56;47;12;2534;238;https://libraries.io/pypi/natsort;21;60;608
cookies;4765794;https://github.com/sashahart/cookies;27;2014-09-27;;;;;;;;;;https://libraries.io/pypi/cookies;12;7;434
aioxmpp;4764048;https://github.com/horazont/aioxmpp;162;2020-06-07;26;91;57;157;100;56;8;57;6;https://libraries.io/pypi/aioxmpp;11;3;5
jupyterlab;4756535;https://github.com/topics/jupyterlab-extension;;;;;;300;;;;;;https://libraries.io/pypi/jupyterlab;18;38;1190
flaky;4752245;https://github.com/box/flaky;258;2020-07-08;3;80;12;61;61;106;21;1653;75;https://libraries.io/pypi/flaky;16;2;623
jaydebeapi;4752232;https://github.com/baztian/jaydebeapi;219;2020-07-02;4;;65;63;62;77;4;308;37;https://libraries.io/pypi/JayDeBeApi;15;5;154
ray;4722487;https://github.com/ray-project/ray;12772;2020-08-22;120;37;1200;3090;100;3;347;864;68;https://libraries.io/pypi/ray;15;0;80
flask-script;4720837;http://github.com/smurfix/flask-script;665;2017-09-11;3;;27;84;84;216;48;41028;225;https://libraries.io/pypi/Flask-Script;20;37;6620
json-merge-patch;4700813;https://github.com/open-contracting/json-merge-patch;12;2020-06-09;;1527;1;0;;;2;;;https://libraries.io/pypi/json-merge-patch;11;4;63
extras;4692429;https://github.com/testing-cabal/extras;3;2017-10-12;;;1;3;3;300;4;;;https://libraries.io/pypi/extras;14;6;426
shortuuid;4688925;https://github.com/stochastic-technologies/shortuuid;1318;2020-03-06;1;877;1;23;;;17;;;https://libraries.io/pypi/shortuuid;19;47;847
drf-yasg;4687807;https://github.com/axnsan12/drf-yasg;1764;2020-02-17;13;19;137;316;100;34;48;14699;37;https://libraries.io/pypi/drf-yasg;16;15;290
theano;4680890;;;;;;;;;;;;;https://libraries.io/pypi/Theano;12;11;2740
azureml-model-management-sdk;4675747;https://github.com/Azure/azure-ml-api-sdk-python;;;;;;;;;;;;https://libraries.io/pypi/azureml-model-management-sdk;4;0;0
bumpversion;4662067;https://github.com/peritus/bumpversion;1336;2019-11-26;2;123;73;80;79;63;13;9784;653;https://libraries.io/pypi/bumpversion;19;26;5490
keystoneauth1;4657591;;;;;;;;;;;;;https://libraries.io/pypi/keystoneauth1;15;109;729
partd;4647053;;;;;;;;;;;;;https://libraries.io/pypi/partd;15;0;868
cvxopt;4646310;;;;;;;;;;;;;https://libraries.io/pypi/cvxopt;12;12;468
memoized-property;4630811;https://github.com/estebistec/python-memoized-property;24;2016-09-29;;;0;1;1;749;2;;;https://libraries.io/pypi/memoized-property;11;0;40
docker-py;4617845;;;;;;;;;;;;;https://libraries.io/pypi/docker-py;22;68;3330
milksnake;4606884;;;;;;;;;;;;;https://libraries.io/pypi/milksnake;3;0;12
fortnitepy;4601089;https://github.com/Terbau/fortnitepy;56;2020-08-17;38;31;4;28;28;33;4;279;6;https://libraries.io/pypi/fortnitepy;11;0;0
easyprocess;4593809;https://github.com/ponty/easyprocess;76;2020-05-28;2;;2;11;11;146;5;;;https://libraries.io/pypi/EasyProcess;15;12;392
robotframework;4587214;https://github.com/robotframework/robotframework;4917;2020-08-20;166;24;125;3157;100;9;109;2455;297;https://libraries.io/pypi/robotframework;14;144;704
dpath;4563026;;;;;;;;;;;;;https://libraries.io/pypi/dpath;16;21;204
tfx;4560647;https://github.com/tensorflow/tfx;1123;2020-08-21;120;24;131;249;100;10;76;176;2;https://libraries.io/pypi/tfx;5;0;2
fixtures;4550123;https://github.com/testing-cabal/fixtures;28;2019-06-12;3;;6;0;;;14;;;https://libraries.io/pypi/fixtures;10;16;2530
tensorflow-datasets;4546663;https://github.com/tensorflow/datasets;2304;2020-08-22;128;50;199;409;100;12;138;2046;45;https://libraries.io/pypi/tensorflow-datasets;15;2;51
dotnetcore2;4534820;https://github.com/dotnet/core;14262;2020-08-21;40;19;306;3193;100;7;252;;;https://libraries.io/pypi/dotnetcore2;13;0;1
objectpath;4528487;;;;;;;;;;;;;https://libraries.io/pypi/objectpath;12;12;48
azure-identity;4523089;;;;;;;;;;;;;https://libraries.io/pypi/azure-identity;12;4;8
mujoco-py;4513454;https://github.com/openai/mujoco-py;1421;2020-08-14;4;197;231;194;100;25;27;1110;17;https://libraries.io/pypi/mujoco-py;13;1;112
tables;4500305;;;;;;;;;;;;;https://libraries.io/pypi/tables;11;8;1880
behave;4498841;http://github.com/behave/behave;2137;2020-04-13;14;;32;585;100;77;66;3693;105;https://libraries.io/pypi/behave;18;29;1300
mongoengine;4496382;https://github.com/MongoEngine/mongoengine;3236;2020-08-12;36;38;303;1140;100;19;294;10015;259;https://libraries.io/pypi/mongoengine;14;57;3360
clickclick;4484634;https://github.com/zalando/python-clickclick;42;2019-12-03;1;123;1;4;;;9;1567;40;https://libraries.io/pypi/clickclick;14;13;228
python-ldap;4473569;;;;;;;;;;;;;https://libraries.io/pypi/python-ldap;14;53;2380
googleads;4459790;https://github.com/googleads/googleads-python-lib;497;2020-08-06;2;28;62;354;100;37;16;;;https://libraries.io/pypi/googleads;15;3;65
vcrpy;4438325;https://github.com/kevin1024/vcrpy;1757;2020-01-12;10;56;49;243;100;261;95;2096;141;https://libraries.io/pypi/vcrpy;19;15;860
weasyprint;4419850;https://github.com/Kozea/WeasyPrint;3765;2020-08-01;32;49;150;829;100;11;88;;;https://libraries.io/pypi/WeasyPrint;11;17;620
pylint-django;4413884;https://github.com/PyCQA/pylint-django;419;2020-08-04;6;62;15;137;100;103;43;;;https://libraries.io/pypi/pylint-django;16;3;1120
pep8-naming;4411989;https://github.com/PyCQA/pep8-naming;240;2020-06-26;2;;9;60;60;198;25;4117;233;https://libraries.io/pypi/pep8-naming;16;13;1510
python-crfsuite;4384226;https://github.com/scrapinghub/python-crfsuite;647;2020-03-14;3;;42;38;38;95;17;1893;48;https://libraries.io/pypi/python-crfsuite;16;12;311
pybind11;4368811;https://github.com/pybind/pybind11;7813;2020-08-21;30;;285;1159;100;24;191;2303;316;https://libraries.io/pypi/pybind11;21;104;381
pkgconfig;4352377;https://github.com/matze/pkgconfig;42;2020-05-26;1;;3;19;19;45;10;;;https://libraries.io/pypi/pkgconfig;15;4;58
django-crispy-forms;4347454;https://github.com/django-crispy-forms/django-crispy-forms;3955;2020-08-18;15;89;57;518;100;122;184;41513;211;https://libraries.io/pypi/django-crispy-forms;23;63;7820
authlib;4302140;https://github.com/lepture/authlib;1981;2020-08-16;29;49;9;179;100;25;41;7637;47;https://libraries.io/pypi/Authlib;16;21;162
locket;4298303;http://github.com/mwilliamson/locket.py;9;2020-02-03;;;3;4;4;55;3;;;https://libraries.io/pypi/locket;12;3;889
asyncio;4290537;https://github.com/python/asyncio;932;2017-03-03;;;76;305;100;46;;;;https://libraries.io/pypi/asyncio;11;6;570
cssutils;4273280;;;;;;;;;;;;;https://libraries.io/pypi/cssutils;11;7;887
opencensus;4272523;https://github.com/census-instrumentation/opencensus-python;510;2020-08-12;12;45;119;240;100;32;69;372;43;https://libraries.io/pypi/opencensus;16;26;45
cytoolz;4254761;https://github.com/pytoolz/cytoolz;727;2020-02-03;3;;19;39;38;126;;;;https://libraries.io/pypi/cytoolz;18;35;1580
python-box;4238536;https://github.com/cdgriffith/Box;1506;2020-08-20;;32;7;95;94;100;4;835;98;https://libraries.io/pypi/python-box;17;46;127
django-environ;4238536;https://github.com/joke2k/django-environ;1948;2020-07-20;3;299;82;72;72;258;52;25867;106;https://libraries.io/pypi/django-environ;17;20;3380
pygame;4235392;;;;;;;;;;;;;https://libraries.io/pypi/pygame;9;0;729
pyelftools;4212469;https://github.com/eliben/pyelftools;1044;2020-08-19;6;;44;101;100;207;64;1168;69;https://libraries.io/pypi/pyelftools;17;20;438
instana;4210111;https://github.com/instana/python-sensor;23;2020-08-20;14;10;2;26;26;78;7;;;https://libraries.io/pypi/instana;11;0;7
rq;4206658;;;;;;;;;;;;;https://libraries.io/pypi/rq;19;28;1660
ftfy;4202300;http://github.com/LuminosoInsight/python-ftfy;2751;2020-07-17;5;24;12;91;90;32;14;1976;67;https://libraries.io/pypi/ftfy;18;16;380
databricks-pypi1;4182281;;;;;;;;;;;;;https://libraries.io/pypi/databricks-pypi1;0;0;0
os-service-types;4170512;;;;;;;;;;;;;https://libraries.io/pypi/os-service-types;9;3;39
openstacksdk;4161282;;;;;;;;;;;;;https://libraries.io/pypi/openstacksdk;11;28;197
azureml-dataprep;4150856;;;;;;;;;;;;;https://libraries.io/pypi/azureml-dataprep;11;0;2
meld3;4145321;https://github.com/supervisor/meld3;20;2020-04-08;1;;0;11;11;18;7;;;https://libraries.io/pypi/meld3;16;5;716
livereload;4143173;https://github.com/lepture/python-livereload;863;2020-08-21;3;97;29;88;88;122;46;4445;67;https://libraries.io/pypi/livereload;18;23;1530
pyinstaller;4137158;https://github.com/pyinstaller/pyinstaller;7072;2020-08-21;70;96;444;3219;100;7;318;10136;123;https://libraries.io/pypi/pyinstaller;6;1;0
click-completion;4130775;https://github.com/click-contrib/click-completion;214;2019-10-15;1;;8;10;10;32;10;1013;80;https://libraries.io/pypi/click-completion;13;10;59
json5;4128531;https://github.com/dpranke/pyjson5;56;2020-05-26;1;;2;32;32;155;6;10805;41;https://libraries.io/pypi/json5;13;12;226
tweepy;4122985;https://github.com/tweepy/tweepy;7037;2020-08-02;11;131;99;831;100;20;184;17409;233;https://libraries.io/pypi/tweepy;20;41;4150
opencensus-context;4119876;;;;;;;;;;;;;https://libraries.io/pypi/opencensus-context;11;2;3
django-timezone-field;4114547;;;;;;;;;;;;;https://libraries.io/pypi/django-timezone-field;14;6;315
typing-inspect;4094572;https://github.com/ilevkivskyi/typing_inspect;149;2020-07-13;1;;13;22;22;88;8;;;https://libraries.io/pypi/typing-inspect;15;31;40
atlassian-jwt-auth;4083822;;;;;;;;;;;;;https://libraries.io/pypi/atlassian-jwt-auth;6;0;1
azureml-dataprep-native;4078399;;;;;;;;;;;;;https://libraries.io/pypi/azureml-dataprep-native;12;0;1
webargs;4069626;https://github.com/marshmallow-code/webargs;1053;2020-08-17;14;;14;217;100;44;46;1728;66;https://libraries.io/pypi/webargs;20;32;398
schema;4030711;https://github.com/keleshev/schema;2131;2020-08-19;4;132;52;59;59;171;55;1732;238;https://libraries.io/pypi/schema;19;87;505
fysom;4012539;https://github.com/mriehl/fysom;340;2017-10-10;2;142;12;10;10;166;;;;https://libraries.io/pypi/fysom;14;1;96
yq;4010446;https://github.com/kislyuk/yq;1212;2020-08-13;3;45;10;68;67;42;11;134;5;https://libraries.io/pypi/yq;14;1;18
oauth;4000504;;;;;;;;;;;;;https://libraries.io/pypi/oauth;8;2;1020
bitstring;3991001;https://github.com/scott-griffiths/bitstring;234;2020-05-05;9;52;18;173;100;84;5;1460;144;https://libraries.io/pypi/bitstring;18;57;498
pygam;3973557;https://github.com/dswah/pyGAM;496;2020-07-15;16;81;48;154;100;80;10;;;https://libraries.io/pypi/pygam;12;0;7
python-keystoneclient;3967172;;;;;;;;;;;;;https://libraries.io/pypi/python-keystoneclient;14;97;2480
troposphere;3958350;https://github.com/cloudtools/troposphere;4236;2020-08-19;22;41;141;603;100;18;370;1919;87;https://libraries.io/pypi/troposphere;22;36;449
cloudant;3946866;https://github.com/cloudant/python-cloudant;148;2020-08-18;13;62;38;199;100;36;25;1025;23;https://libraries.io/pypi/cloudant;15;8;267
falcon;3941974;https://github.com/falconry/falcon;7950;2020-08-15;17;;195;641;100;73;154;4255;211;https://libraries.io/pypi/falcon;14;71;1520
autowrapt;3935676;https://github.com/GrahamDumpleton/autowrapt;19;2015-05-11;;;0;0;;;;;;https://libraries.io/pypi/autowrapt;7;0;2
jupyterlab-server;3932780;https://github.com/jupyterlab/jupyterlab_server;61;2020-08-12;10;;4;11;11;5;22;;;https://libraries.io/pypi/jupyterlab-server;12;4;457
ezfnsetup;3921492;;;;;;;;;;;;;https://libraries.io/pypi/ezfnSetup;4;0;0
couchdb;3902398;;;;;;;;;;;;;https://libraries.io/pypi/CouchDB;13;2;645
mleap;3899653;;;;;;;;;;;;;https://libraries.io/pypi/mleap;13;1;16
uvicorn;3891542;https://github.com/encode/uvicorn;2971;2020-08-18;17;9;69;305;100;19;74;8504;198;https://libraries.io/pypi/uvicorn;19;55;357
google-cloud-dns;3883990;https://github.com/googleapis/python-dns;0;2020-06-26;17;16;1;3;3;6;18;;;https://libraries.io/pypi/google-cloud-dns;13;4;158
pyqt5;3881914;;;;;;;;;;;;;https://libraries.io/pypi/PyQt5;10;0;1960
initools;3864861;;;;;;;;;;;;;https://libraries.io/pypi/INITools;5;1;5
presto-python-client;3861455;https://github.com/prestodb/presto-python-client;133;2020-06-24;1;138;27;21;21;81;14;107;7;https://libraries.io/pypi/presto-python-client;10;3;2
grequests;3860461;https://github.com/kennethreitz/grequests;3476;2020-04-05;;503;9;90;;;23;1666;120;https://libraries.io/pypi/grequests;19;30;580
fusepy;3846435;http://github.com/fusepy/fusepy;676;2018-09-17;1;;39;35;35;605;18;;;https://libraries.io/pypi/fusepy;14;2;248
spotinst-agent;3838800;https://github.com/spotinst/spotinst-spectrum-agent;;;;;;;;;;;;https://libraries.io/pypi/spotinst-agent;7;0;0
validate-email;3825469;http://github.com/syrusakbary/validate_email;459;2015-07-24;;;72;11;11;96;10;;;https://libraries.io/pypi/validate_email;13;4;182
genson;3820306;;;;;;;;;;;;;https://libraries.io/pypi/genson;16;17;50
py-cpuinfo;3808910;https://github.com/workhorsy/py-cpuinfo;132;2020-07-09;7;;24;89;88;160;8;2151;90;https://libraries.io/pypi/py-cpuinfo;20;32;531
pyinotify;3791356;http://github.com/seb-m/pyinotify;2050;2015-06-04;1;;49;87;85;108;10;3848;111;https://libraries.io/pypi/pyinotify;17;29;1200
cchardet;3786353;https://github.com/PyYoshi/cChardet;253;2020-04-02;2;175;6;38;38;90;8;;;https://libraries.io/pypi/cchardet;19;45;826
watson-machine-learning-client;3766522;;;;;;;;;;;;;https://libraries.io/pypi/watson-machine-learning-client;7;0;3
nvidia-ml-py;3762366;;;;;;;;;;;;;https://libraries.io/pypi/nvidia-ml-py;8;0;34
jsonfield;3758740;;;;;;;;;;;;;https://libraries.io/pypi/jsonfield;20;66;2190
workalendar;3749290;https://github.com/peopledoc/workalendar;482;2020-08-21;13;36;47;143;100;79;68;157;15;https://libraries.io/pypi/workalendar;15;4;25
pint;3742659;https://github.com/hgrecco/pint;1197;2020-08-22;17;;186;572;100;25;128;1984;275;https://libraries.io/pypi/Pint;19;69;490
