package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
scipy;188420981;https://github.com/scipy/scipy;7428;2020-08-20;213;28;1200;5385;100;8;900;220210;11177;https://libraries.io/pypi/scipy;26;1000;43400
packaging;184987665;https://github.com/pypa/packaging;230;2020-08-19;5;78;32;101;100;104;54;110330;1128;https://libraries.io/pypi/packaging;21;374;14600
google-api-core;183602669;https://github.com/googleapis/python-api-core;10;2020-08-12;22;5;7;22;22;19;33;11500;162;https://libraries.io/pypi/google-api-core;18;95;617
wcwidth;177238272;https://github.com/jquast/wcwidth;164;2020-07-14;2;178;7;18;18;159;8;127640;431;https://libraries.io/pypi/wcwidth;20;118;12700
more-itertools;172880256;https://github.com/more-itertools/more-itertools;1493;2020-08-19;9;97;5;123;100;28;50;77795;581;https://libraries.io/pypi/more-itertools;21;192;7450
grpcio;169509068;;;;;;;;;;;;;https://libraries.io/pypi/grpcio;15;316;3380
googleapis-common-protos;164645909;https://github.com/googleapis/python-api-common-protos;2;2020-06-12;4;120;3;4;4;17;4;;;https://libraries.io/pypi/googleapis-common-protos;20;100;1040
pytest;162640402;https://github.com/pytest-dev/pytest;6364;2020-08-19;207;12;566;3573;100;5;552;204427;16232;https://libraries.io/pypi/pytest;28;1400;65300
jsonschema;162467700;https://github.com/Julian/jsonschema;2890;2020-08-20;16;;55;458;100;14;74;100847;1892;https://libraries.io/pypi/jsonschema;22;813;15500
enum34;154781554;;;;;;;;;;;;;https://libraries.io/pypi/enum34;17;612;12600
google-cloud-core;154309369;https://github.com/googleapis/python-cloud-core;3;2020-08-06;38;10;2;5;5;1;27;;;https://libraries.io/pypi/google-cloud-core;18;47;718
py;153832347;https://github.com/pytest-dev/py;35;2020-06-25;54;;30;106;100;125;52;88005;716;https://libraries.io/pypi/py;15;146;17500
