package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
validate-email;3825469;https://github.com/syrusakbary/validate_email;477;2015-07-24;0;;74;11;11;96;10;;;0;License not permissive (text)
genson;3820306;https://github.com/wolverdude/genson;270;2021-01-27;3;;11;26;26;127;7;;;0;MIT License
py-cpuinfo;3808910;https://github.com/workhorsy/py-cpuinfo;157;2021-02-01;7;;22;95;94;195;9;3140;113;0;MIT License
pyinotify;3791356;https://github.com/seb-m/pyinotify;2099;2015-06-04;1;;48;88;86;116;10;4995;117;0;MIT License
cchardet;3786353;https://github.com/pyyoshi/cchardet;285;2021-02-10;2;177;9;38;38;90;8;3914;258;0;Mozilla Public License (text)
jsonfield;3758740;https://github.com/rpkilby/jsonfield;1101;2020-02-22;2;361;7;150;100;666;47;6818;240;0;MIT License
workalendar;3749290;https://github.com/peopledoc/workalendar;549;2021-03-12;14;32;46;170;100;67;73;;;0;MIT License
pint;3742659;https://github.com/hgrecco/pint;1335;2021-03-22;18;;224;616;100;18;135;2727;343;0;License not permissive (text)
python-gflags;3741813;https://github.com/google/python-gflags;182;2017-11-02;1;109;3;26;26;344;7;;;0;BSD-3-Clause License
google-cloud-trace;3733333;https://github.com/googleapis/python-trace;2;2021-02-11;9;31;1;12;12;15;22;;;0;Apache-2.0 License
google-cloud-resource-manager;3732535;https://github.com/googleapis/python-resource-manager;7;2021-02-08;10;24;3;8;8;46;18;;;0;Apache-2.0 License
urltools;3721775;https://github.com/itzik-h/urltools;0;2020-08-02;9;120;;;;;;;;0;MIT License
python-gitlab;3702197;https://github.com/python-gitlab/python-gitlab;1491;2021-03-17;20;49;121;699;100;27;153;2490;163;0;LGPL-3.0 License
pyvmomi;3700100;https://github.com/vmware/pyvmomi;1750;2021-01-27;3;147;418;340;100;21;39;1606;62;0;Apache-2.0 License
pyathenajdbc;3692089;https://github.com/laughingman7743/pyathenajdbc;92;2021-02-14;6;48;5;47;47;102;5;;;0;MIT License
googlemaps;3686880;https://github.com/googlemaps/google-maps-services-python;3110;2021-03-15;5;65;13;194;100;85;52;5300;52;0;Apache-2.0 License
