Package name;Final URL;Reliability score;Timestamp
urllib3;https://github.com/urllib3/urllib3;4;1621329848
six;https://github.com/benjaminp/six;4;1621329848
botocore;https://github.com/boto/botocore;3;1621329848
requests;https://github.com/psf/requests;4;1621329986
docutils;;;1621330257
