Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Final URL position;Real URL;Confidence;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Real URL position
rsa;https://github.com/sybrenstuvel/python-rsa;;;https://github.com/sybrenstuvel/python-rsa;;;;https://github.com/sybrenstuvel/python-rsa;7/10;Substring;1198/1481;True;98.7%;Shell (1.3%);TP;https://github.com/sybrenstuvel/python-rsa;2;;0;;0;Equal;;;;;;;;https://github.com/sybrenstuvel/python-rsa;24%;7/10;Substring;1198/1481;True;98.7%;Shell (1.3%);TP
pytz;https://github.com/stub42/pytz;;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;;;;0/4;Equal;1012/1453;False;16.3%;C (33.3%) - HTML (25.0%) - Roff (11.7%) - Makefile (7.3%) - Awk (3.9%) - Other (2.5%);;https://github.com/stub42/pytz;3;;0;;0;Equal;;;;;;;;https://github.com/stub42/pytz;40%;0/4;Equal;1012/1453;False;16.3%;C (33.3%) - HTML (25.0%) - Roff (11.7%) - Makefile (7.3%) - Awk (3.9%) - Other (2.5%);
boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;;https://github.com/boto/boto3;0/5;Equal;55/1458;True;100.0%;;TP;https://github.com/boto/boto3;6;;0;;0;Equal;;;;;;;;https://github.com/boto/boto3;91%;0/5;Equal;55/1458;True;100.0%;;TP
numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;;;0/5;Equal;904/1255;False;63.0%;C (35.7%) - C++ (1.0%) - JavaScript (0.1%) - Fortran (0.1%) - Shell (0.1%);;https://github.com/numpy/numpy;5;;0;;0;Equal;;;;;;;;https://github.com/numpy/numpy;74%;0/5;Equal;904/1255;False;63.0%;C (35.7%) - C++ (1.0%) - JavaScript (0.1%) - Fortran (0.1%) - Shell (0.1%);
awscli;https://github.com/aws/aws-cli;;;;;;;https://github.com/aws/aws-cli;1/7;Different;14/1451;False;100.0%;;TP(?);https://github.com/aws/aws-cli;1;;0;;0;Equal;;;;;;;;https://github.com/aws/aws-cli;17%;1/7;Different;14/1451;False;100.0%;;TP(?)
colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;;https://github.com/tartley/colorama;0/8;Equal;226/1462;True;90.9%;PowerShell (3.5%) - Makefile (3.0%) - Shell (2.6%);TP;https://github.com/tartley/colorama;6;;0;;0;Equal;;;;;;;;https://github.com/tartley/colorama;91%;0/8;Equal;226/1462;True;90.9%;PowerShell (3.5%) - Makefile (3.0%) - Shell (2.6%);TP
wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;;0/5;Equal;6/611;False;100.0%;;TP(?);https://github.com/pypa/wheel;6;;0;;0;Equal;;;;;;;;https://github.com/pypa/wheel;83%;0/5;Equal;6/611;False;100.0%;;TP(?)
futures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;;https://github.com/agronholm/pythonfutures;6/13;Substring;0/750;False;100.0%;;TP(?);https://github.com/agronholm/pythonfutures;6;;0;;0;Equal;;;;;;;;https://github.com/agronholm/pythonfutures;91%;6/13;Substring;0/750;False;100.0%;;TP(?)
markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;;;0/10;Equal;137/1456;False;75.3%;C (24.7%);TP(?);https://github.com/pallets/markupsafe;4;;0;;0;Equal;;;;;;;;https://github.com/pallets/markupsafe;54%;0/10;Equal;137/1456;False;75.3%;C (24.7%);TP(?)
protobuf;https://github.com/protocolbuffers/protobuf;;https://github.com/protocolbuffers/protobuf;https://github.com/protocolbuffers/protobuf;;https://github.com/protocolbuffers/protobuf;;;0/8;Equal;1422/1474;False;5.0%;C++ (30.7%) - C# (19.7%) - Java (17.7%) - Objective-C (9.7%) - JavaScript (6.2%) - Other (11.0%);;https://github.com/protocolbuffers/protobuf;3;;0;;0;Equal;;;;;;;;https://github.com/protocolbuffers/protobuf;45%;0/8;Equal;1422/1474;False;5.0%;C++ (30.7%) - C# (19.7%) - Java (17.7%) - Objective-C (9.7%) - JavaScript (6.2%) - Other (11.0%);
