Package name;Badge URL;Homepage URL;Metadata URL;Readthedocs URL;Statistics URL;OSSGadget URL;Mode URL;Final URL;Real URL;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Real URL Score
jeepney;;;;https://github.com/lew21/pydbus;;;https://github.com/lew21/pydbus;https://github.com/lew21/pydbus;;0;0;0;0;0
s3cmd;;;;;;;;;https://github.com/s3tools/s3cmd;1;-1;0;1;1
service-identity;https://github.com/pyca/service-identity;;;https://github.com/pyca/service-identity;;https://github.com/pyca/service-identity;https://github.com/pyca/service-identity;https://github.com/pyca/service-identity;https://github.com/pyca/service-identity;1;-1;0;1;1
maxminddb;;;;;;https://github.com/maxmind/libmaxminddb;;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/maxmind-db-reader-python;-1;1;0;1;1
blinker;;https://github.com/jek/blinker;;;;;https://github.com/jek/blinker;https://github.com/jek/blinker;https://github.com/jek/blinker;1;1;0;1;3
geoip2;;;;;;https://github.com/maxmind/libmaxminddb;;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/geoip2-python;1;1;0;1;3
uwsgi;;https://github.com/unbit/uwsgi-docs;;https://github.com/unbit/uwsgi-docs;;;https://github.com/unbit/uwsgi-docs;https://github.com/unbit/uwsgi-docs;https://github.com/unbit/uwsgi-docs;1;-1;0;1;1
grpcio-tools;;;;;;https://github.com/grpc/grpc;;https://github.com/grpc/grpc;https://github.com/grpc/grpc;1;-1;0;1;1
numba;;https://github.com/numba/numba;;;;;https://github.com/numba/numba;https://github.com/numba/numba;https://github.com/numba/numba;1;1;0;1;3
pika;https://github.com/pika/pika;https://github.com/pika/pika;;https://github.com/pika/pika;;https://github.com/invl/retry;https://github.com/pika/pika;https://github.com/pika/pika;https://github.com/pika/pika;1;1;1;1;4
spacy;https://github.com/explosion/spacy;;;;;https://github.com/explosion/spacy;https://github.com/explosion/spacy;https://github.com/explosion/spacy;https://github.com/explosion/spacy;1;1;1;1;4
pygithub;;;;https://github.com/pygithub/pygithub;;;https://github.com/pygithub/pygithub;https://github.com/pygithub/pygithub;https://github.com/pygithub/pygithub;1;-1;1;1;2
fabric;;;;;;;;;https://github.com/fabric/fabric;1;1;0;1;3
pycairo;;https://github.com/pygobject/pycairo;;https://github.com/pygobject/pycairo;;https://github.com/ldo/qahirah;https://github.com/pygobject/pycairo;https://github.com/pygobject/pycairo;https://github.com/pygobject/pycairo;1;1;0;1;3
wasabi;https://github.com/ines/wasabi;;;;;https://github.com/explosion/thinc;https://github.com/ines/wasabi;https://github.com/ines/wasabi;https://github.com/ines/wasabi;1;1;1;1;4
gapic-google-cloud-logging-v2;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
pyxdg;;https://github.com/takluyver/pyxdg;;;;;https://github.com/takluyver/pyxdg;https://github.com/takluyver/pyxdg;https://github.com/takluyver/pyxdg;1;-1;0;1;1
proto-google-cloud-logging-v2;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
