Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity
grpcio-health-checking;;;;;;;;;;;;;;;;;0;;0;;0;Equal
twitter-common-log;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;12/18;Different;84/84;False;29.8%;Java (65.8%) - Thrift (1.6%) - JavaScript (0.8%) - Shell (0.7%) - GAP (0.7%) - Other (0.6%);FP(?);https://github.com/twitter-archive/commons;3;;0;;0;Equal
requests-html;https://github.com/psf/requests-html;https://github.com/psf/requests-html;https://github.com/psf/requests-html;https://github.com/psf/requests-html;https://github.com/psf/requests-html;https://github.com/psf/requests-html;;https://github.com/psf/requests-html;0/13;Equal;510/1455;False;99.7%;Makefile (0.3%);TP(?);https://github.com/psf/requests-html;6;;0;;0;Equal
httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;;;0/7;Equal;2/1454;False;100.0%;;TP(?);https://github.com/patrys/httmock;5;;0;;0;Equal
eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;;;0/11;Equal;73/1466;False;90.3%;Makefile (6.0%) - Shell (3.7%);TP(?);https://github.com/ethereum/eth-keyfile;5;;0;;0;Equal
implicit;https://github.com/benfred/implicit;https://github.com/benfred/implicit;https://github.com/benfred/implicit;;https://github.com/spotify/annoy;https://github.com/benfred/implicit;https://github.com/benfred/implicit;https://github.com/benfred/implicit;0/8;Equal;444/1463;False;88.3%;Cuda (9.0%) - C++ (2.6%) - C (0.1%);TP(?);https://github.com/benfred/implicit;5;https://github.com/spotify/annoy;1;;0;Equal
image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;;;0/5;Equal;1345/1489;False;94.6%;HTML (5.0%) - SCSS (0.4%);;https://github.com/francescortiz/image;5;;0;;0;Equal
python-designateclient;;;;;;;;;;;;;;;;;0;;0;;0;Equal
flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;;;0/12;Equal;50/171;False;99.4%;Other (0.6%);TP(?);https://github.com/miracle2k/flask-assets;5;;0;;0;Equal
patch;https://github.com/techtonik/python-patch;https://github.com/techtonik/python-patch;https://github.com/techtonik/python-patch;https://github.com/techtonik/python-patch;;https://github.com/techtonik/python-patch;;;7/12;Substring;111/1077;True;59.9%;C++ (38.3%) - C (1.2%) - Other (0.6%);TP;https://github.com/techtonik/python-patch;4;;0;;0;Equal
pycli;;;;;;;;;;;;;;;;;0;;0;;0;Equal
pytorch-transformers;https://github.com/huggingface/transformers;https://github.com/huggingface/transformers;;https://github.com/huggingface/transformers;https://github.com/huggingface/transformers;https://github.com/huggingface/transformers;;;8/20;Substring;1158/1488;False;93.9%;Jupyter (Notebook%) - Other (0.3%);;https://github.com/huggingface/transformers;4;;0;;0;Equal
yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;;;0/5;Equal;184/1487;False;69.2%;C (30.8%);TP(?);https://github.com/sumerc/yappi;5;;0;;0;Equal
eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;;0/7;Equal;6/1450;True;64.6%;Makefile (18.0%) - Shell (17.4%);TP;https://github.com/ethereum/eth-rlp;6;;0;;0;Equal
whoosh;;;;;;;;;;;;;;;;;0;;0;;0;Equal
datadiff;;;;;;;;;;;;;;;;;0;;0;;0;Equal
django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;0/17;Equal;2/1444;True;92.1%;HTML (7.0%) - Makefile (0.9%);TP;https://github.com/zostera/django-bootstrap3;7;;0;;0;Equal
mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;;;0/20;Equal;1465/1465;False;97.9%;Shell (2.1%);;https://github.com/byrnereese/mkdocs-minify-plugin;5;;0;;0;Equal
seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;;https://github.com/seleniumbase/seleniumbase;0/12;Equal;2/1428;True;93.5%;CSS (4.4%) - Shell (1.0%) - HTML (0.7%) - Dockerfile (0.2%) - Batchfile (0.1%) - JavaScript (0.1%);TP;https://github.com/seleniumbase/seleniumbase;6;;0;;0;Equal
xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/stchris/untangle;https://github.com/sanand0/xmljson;0/7;Equal;16/1450;True;96.0%;Makefile (4.0%);TP;https://github.com/sanand0/xmljson;6;https://github.com/stchris/untangle;1;;0;Equal
graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;;https://github.com/graphql-python/graphene-sqlalchemy;0/19;Equal;472/1448;True;99.7%;Shell (0.3%);TP;https://github.com/graphql-python/graphene-sqlalchemy;6;;0;;0;Equal
python-twitter;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;;;0/14;Equal;1125/1499;True;99.4%;Other (0.6%);TP;https://github.com/bear/python-twitter;4;;0;;0;Equal
azureml-contrib-services;;;;;;;;;;;;;;;;;0;;0;;0;Equal
gtts;https://github.com/pndurette/gtts;https://github.com/pndurette/gtts;;;https://github.com/pndurette/gtts;https://github.com/pndurette/gtts;;https://github.com/pndurette/gtts;0/4;Equal;21/1240;True;100.0%;;TP;https://github.com/pndurette/gtts;4;;0;;0;Equal
colored;;;;;;;;;;;;;;;;;0;;0;;0;Equal
cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;;;0/8;Equal;86/1471;False;54.5%;C (45.5%);TP(?);https://github.com/theacodes/cmarkgfm;5;;0;;0;Equal
oci;https://github.com/oracle/oci-python-sdk;;https://github.com/oracle/oci-python-sdk;https://github.com/oracle/oci-python-sdk;https://github.com/oracle/oci-python-sdk;;https://github.com/oracle/oci-python-sdk;;11/14;Substring;71/1459;False;100.0%;;TP(?);https://github.com/oracle/oci-python-sdk;4;;0;;0;Equal
jupyterhub;https://github.com/jupyterhub/jupyterhub;;https://github.com/jupyterhub/jupyterhub;;https://github.com/jupyterhub/jupyterhub-tutorial;https://github.com/jupyterhub/jupyterhub;https://github.com/jupyterhub/jupyterhub;https://github.com/jupyterhub/jupyterhub;0/10;Equal;1430/1430;True;93.0%;HTML (3.3%) - JavaScript (2.3%) - Shell (0.5%) - Dockerfile (0.4%) - Less (0.4%) - Mako (0.1%);TP;https://github.com/jupyterhub/jupyterhub;4;https://github.com/jupyterhub/jupyterhub-tutorial;1;;0;Equal
django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;https://github.com/django-auth-ldap/django-auth-ldap;;0/16;Equal;1453/1453;True;100.0%;;TP;https://github.com/django-auth-ldap/django-auth-ldap;6;;0;;0;Equal
memcnn;https://github.com/silvandeleemput/memcnn;;https://github.com/silvandeleemput/memcnn;https://github.com/silvandeleemput/memcnn;;;https://github.com/silvandeleemput/memcnn;https://github.com/silvandeleemput/memcnn;0/6;Equal;1453/1453;True;94.9%;TeX (4.4%) - Dockerfile (0.7%);TP;https://github.com/silvandeleemput/memcnn;4;;0;;0;Equal
azure-keyvault-keys;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;;;14/20;Different;1452/1452;https://pypi.org/project/azure;99.9%;PowerShell (0.1%) - Jupyter (Notebook%) - HTML (0.0%) - Shell (0.0%) - JavaScript (0.0%);;https://github.com/azure/azure-sdk-for-python;3;;0;;0;Equal
rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;https://github.com/josiahcarlson/rpqueue;;;0/7;Equal;1466/1466;False;98.4%;Makefile (1.6%);;https://github.com/josiahcarlson/rpqueue;5;;0;;0;Equal
zappa;https://github.com/miserlou/zappa;https://github.com/miserlou/zappa;https://github.com/zappa/zappa;;https://github.com/miserlou/lambda-packages;https://github.com/miserlou/zappa;https://github.com/jschneier/django-storages;https://github.com/miserlou/zappa;0/5;Equal;1401/1401;False;99.9%;Shell (0.1%);;https://github.com/miserlou/zappa;3;https://github.com/zappa/zappa;1;https://github.com/miserlou/lambda-packages;1;Equal
asyncio-nats-client;https://github.com/nats-io/nats.py;https://github.com/nats-io/nats.py;;;https://github.com/nats-io/nats.py;https://github.com/nats-io/nats.py;;;15/19;Different;99/99;True;99.4%;Other (0.6%);TP;https://github.com/nats-io/nats.py;3;;0;;0;Equal
addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;https://github.com/mewwts/addict;;;0/6;Equal;235/235;True;100.0%;;TP;https://github.com/mewwts/addict;5;;0;;0;Equal
pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;https://github.com/asweigart/pyrect;;;0/6;Equal;1429/1429;False;100.0%;;;https://github.com/asweigart/pyrect;5;;0;;0;Equal
flask-debugtoolbar;https://github.com/jazzband/django-debug-toolbar;;https://github.com/flask-debugtoolbar/flask-debugtoolbar;;https://github.com/jazzband/django-debug-toolbar;;https://github.com/flask-debugtoolbar/flask-debugtoolbar;https://github.com/flask-debugtoolbar/flask-debugtoolbar;6/20;Different;1437/1437;https://pypi.org/project/django-debug-toolbar;77.6%;HTML (11.3%) - JavaScript (6.2%) - CSS (4.3%) - Makefile (0.6%);;https://github.com/flask-debugtoolbar/flask-debugtoolbar;3;https://github.com/jazzband/django-debug-toolbar;1;;0;Equal to second URL
stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;;https://github.com/alir3z4/python-stop-words;7/17;Substring;1021/1021;True;100.0%;;TP;https://github.com/alir3z4/python-stop-words;6;;0;;0;Equal
trafaret;https://github.com/deepwalker/trafaret;https://github.com/deepwalker/trafaret;;;https://github.com/deepwalker/trafaret_schema;https://github.com/deepwalker/trafaret;;;0/8;Equal;1458/1458;True;95.6%;JavaScript (4.2%) - HTML (0.2%);TP;https://github.com/deepwalker/trafaret;2;https://github.com/deepwalker/trafaret_schema;1;;0;Equal
pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;;;0/21;Equal;1456/1456;True;57.1%;CSS (33.0%) - Shell (9.0%) - Dockerfile (0.9%);TP;https://github.com/tonybaloney/pytest-azurepipelines;5;;0;;0;Equal
property-manager;https://github.com/xolox/python-property-manager;;;https://github.com/xolox/python-property-manager;https://github.com/xolox/python-property-manager;;;https://github.com/xolox/python-property-manager;7/23;Substring;1452/1452;False;97.0%;Makefile (3.0%);;https://github.com/xolox/python-property-manager;3;;0;;0;Equal
pyspark-dist-explore;;;;;;;;;;;;;;;;;0;;0;;0;Equal
dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;;;0/4;Equal;1442/1480;False;0.8%;C++ (97.8%) - CMake (0.6%) - Cuda (0.5%) - C (0.2%) - XSLT (0.1%);;https://github.com/davisking/dlib;5;;0;;0;Equal
stopit;https://github.com/glenfant/stopit;;https://github.com/glenfant/stopit;https://github.com/glenfant/stopit;https://github.com/glenfant/stopit;;;;0/6;Equal;169/1426;False;100.0%;;TP(?);https://github.com/glenfant/stopit;3;;0;;0;Equal
oslo-messaging;;;;;;;;;;;;;;;;;0;;0;;0;Equal
