Package name;Right URL;Useless;Old URL
cffi;https://github.com/cffi/cffi;False;https://github.com/python-cffi/release-doc
future;https://github.com/future/future;True;https://github.com/PythonCharmers/python-future
typing;https://github.com/python/typing;False;https://github.com/python/cpython
contextlib2;https://github.com/contextlib2/contextlib2;True;https://github.com/jazzband/contextlib2
babel;https://github.com/babel/babel;False;https://github.com/python-babel/babel
py4j;https://github.com/py4j/py4j;True;https://github.com/bartdag/py4j
dnspython;https://github.com/dnspython/dnspython;True;https://github.com/rthalley/dnspython
xlrd;https://github.com/xlrd/xlrd;True;https://github.com/python-excel/xlrd
pycrypto;https://github.com/pycrypto/pycrypto;False;https://github.com/dlitz/pycrypto
importlib-resources;https://github.com/importlib-resources/importlib-resources;True;https://github.com/python/importlib_resources
mypy;https://github.com/mypy/mypy;True;https://github.com/python/mypy
thrift;https://github.com/thrift/thrift;True;https://github.com/apache/thrift
iso8601;https://github.com/iso8601/iso8601;True;https://github.com/micktwomey/pyiso8601
bottle;https://github.com/bottle/bottle;True;https://github.com/bottlepy/bottle
prettytable;https://github.com/prettytable/prettytable;True;https://github.com/jazzband/prettytable
blinker;https://github.com/blinker/blinker;True;https://github.com/jek/blinker
uwsgi;https://github.com/uwsgi/uwsgi;True;https://github.com/unbit/uwsgi-docs
identify;https://github.com/chriskuehl/identify;False;https://github.com/pre-commit/identify
pycairo;https://github.com/ldo/qahirah;False;https://github.com/pygobject/pycairo
pyxdg;https://github.com/pyxdg/pyxdg;True;https://github.com/takluyver/pyxdg
xlwt;https://github.com/xlwt/xlwt;True;https://github.com/python-excel/xlwt
inflect;https://github.com/jazzband/inflect;False;https://github.com/jaraco/inflect
hypothesis;https://github.com/hypothesisworks/hypothesis;False;https://github.com/HypothesisWorks/hypothesis-python
rx;https://github.com/ReactiveX/RxPY;False;https://github.com/ReactiveX/rxjs
heapdict;https://github.com/heapdict/heapdict;True;https://github.com/DanielStutzbach/heapdict
rospkg;https://github.com/rospkg/rospkg;True;https://github.com/ros-infrastructure/rospkg
mleap;https://github.com/combust/mleap;False;https://github.com/combust/mleap-demo
locustio;https://github.com/locustio/locustio;True;https://github.com/locustio/locust
python-stdnum;https://github.com/python-stdnum/python-stdnum;True;https://github.com/arthurdejong/python-stdnum
capstone;https://github.com/capstone/capstone;True;https://github.com/aquynh/capstone
django-formtools;https://github.com/jazzband/django-formtools;False;https://github.com/django/django-formtools
djangorestframework-simplejwt;https://github.com/davesque/django-rest-framework-simplejwt;False;https://github.com/SimpleJWT/django-rest-framework-simplejwt
platformio;https://github.com/platformio/platformio-core;False;https://github.com/platformio/platformio
pylibmc;https://github.com/pylibmc/pylibmc;True;https://github.com/lericson/pylibmc
palettable;https://github.com/palettable/palettable;True;https://github.com/jiffyclub/palettable
django-rest-framework;https://github.com/django-rest-framework/django-rest-framework;True;https://github.com/encode/django-rest-framework
httpagentparser;https://github.com/httpagentparser/httpagentparser;True;https://github.com/shon/httpagentparser
mando;https://github.com/mando/mando;True;https://github.com/rubik/mando
numpydoc;https://github.com/numpydoc/numpydoc;True;https://github.com/numpy/numpydoc
progressbar;https://github.com/progressbar/progressbar;True;https://github.com/niltonvolpato/python-progressbar
junitparser;https://github.com/gastlygem/junitparser;False;https://github.com/weiwei/junitparser
limits;https://github.com/limits/limits;True;https://github.com/alisaifee/limits
deepmerge;https://github.com/deepmerge/deepmerge;True;https://github.com/toumorokoshi/deepmerge
osqp;https://github.com/oxfordcontrol/osqp-wheels;False;https://github.com/oxfordcontrol/osqp
gsutil;https://github.com/gsutil/gsutil;True;https://github.com/GoogleCloudPlatform/gsutil
httpie;https://github.com/jakubroztocil/httpie;False;https://github.com/httpie/httpie
createsend;https://github.com/createsend/createsend;True;https://github.com/campaignmonitor/createsend-python
django-haystack;https://github.com/django-haystack/django-haystack;False;https://github.com/toastdriven/django-haystack
textdistance;https://github.com/life4/textdistance;False;https://github.com/orsinium/textdistance
python-heatclient;https://github.com/python-heatclient/python-heatclient;True;https://github.com/openstack/python-heatclient
lml;https://github.com/chfw/lml;False;https://github.com/python-lml/lml
cmarkgfm;https://github.com/jonparrott/cmarkgfm;False;https://github.com/theacodes/cmarkgfm
jupyterhub;https://github.com/jupyterhub/jupyterhub;False;https://github.com/jupyter/jupyterhub
flask-debugtoolbar;https://github.com/django-debug-toolbar/django-debug-toolbar;False;https://github.com/mgood/flask-debugtoolbar
testrepository;https://github.com/testrepository/testrepository;True;https://github.com/testing-cabal/testrepository
meson;https://github.com/meson/meson;True;https://github.com/mesonbuild/meson
pysmb;https://github.com/pysmb/pysmb;True;https://github.com/miketeo/pysmb
intelhex;https://github.com/bialix/intelhex;False;https://github.com/python-intelhex/intelhex
dbutils;https://github.com/dbutils/dbutils;True;https://github.com/WebwareForPython/DBUtils
django-tinymce;https://github.com/aljosa/django-tinymce;False;https://github.com/jazzband/django-tinymce
patool;https://github.com/patool/patool;True;https://github.com/wummel/patool
django-configurations;https://github.com/django-configurations/django-configurations;True;https://github.com/jazzband/django-configurations
keystonemiddleware;https://github.com/openstack/keystone;False;https://github.com/openstack/keystonemiddleware
param;https://github.com/param/param;True;https://github.com/holoviz/param
imagecodecs;https://github.com/scossu/imagecodecs;False;https://github.com/Czaki/imagecodecs
pysolar;https://github.com/pysolar/pysolar;True;https://github.com/pingswept/pysolar
aiokafka;https://github.com/aiokafka/aiokafka;True;https://github.com/aio-libs/aiokafka
ovs;https://github.com/ovs/ovs;True;https://github.com/openvswitch/ovs
ansi2html;https://github.com/ralphbean/ansi2html;False;https://github.com/pycontribs/ansi2html
pbkdf2;https://github.com/pbkdf2/pbkdf2;True;https://github.com/dlitz/python-pbkdf2
xlutils;https://github.com/xlutils/xlutils;True;https://github.com/python-excel/xlutils
twitter;https://github.com/twitter/twitter;True;https://github.com/sixohsix/twitter
blaze;https://github.com/blaze/blaze;False;https://github.com/blaze/blaze-tutorial
carbon;https://github.com/graphite-project/graphite-web;False;https://github.com/graphite-project/carbon
simplekml;https://github.com/simplekml/simplekml;True;https://github.com/eisoldt/simplekml
browsermob-proxy;https://github.com/browsermob-proxy/browsermob-proxy;True;https://github.com/automatedtester/browsermob-proxy-py
gdal;https://github.com/gdal/gdal;True;https://github.com/OSGeo/gdal
pylzma;https://github.com/pylzma/pylzma;True;https://github.com/fancycode/pylzma
stem;https://github.com/stem/stem;True;https://github.com/torproject/stem
pgeocode;https://github.com/pgeocode/pgeocode;True;https://github.com/symerio/pgeocode
genshi;https://github.com/genshi/genshi;True;https://github.com/edgewall/genshi
redo;https://github.com/bhearsum/redo;False;https://github.com/mozilla-releng/redo
lmfit;https://github.com/lmfit/lmfit;True;https://github.com/lmfit/lmfit-py
modernize;https://github.com/python-modernize/python-modernize;False;https://github.com/PyCQA/modernize
python-jsonschema-objects;https://github.com/python-jsonschema-objects/python-jsonschema-objects;True;https://github.com/cwacek/python-jsonschema-objects
simhash;https://github.com/simhash/simhash;True;https://github.com/leonsim/simhash
python-igraph;https://github.com/python-igraph/python-igraph;True;https://github.com/igraph/python-igraph
python-mistralclient;https://github.com/python-mistralclient/python-mistralclient;True;https://github.com/openstack/python-mistralclient
slugid;https://github.com/slugid/slugid;True;https://github.com/taskcluster/slugid.py
bpemb;https://github.com/bpemb/bpemb;True;https://github.com/bheinzerling/bpemb
chargebee;https://github.com/chargebee/chargebee;True;https://github.com/chargebee/chargebee-python
pycapnp;https://github.com/jparyani/pycapnp;False;https://github.com/capnproto/pycapnp
python-firebase;https://github.com/python-firebase/python-firebase;True;https://github.com/ozgur/python-firebase
cloudbridge;https://github.com/cloudbridge/cloudbridge;True;https://github.com/CloudVE/cloudbridge
yaql;https://github.com/yaql/yaql;True;https://github.com/openstack/yaql
darglint;https://github.com/terrencepreilly/darglint;False;https://github.com/raddessi/SublimeLinter-contrib-darglint
django-slack;https://github.com/django-slack/django-slack;True;https://github.com/lamby/django-slack
