Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different;Names Lev. dist.;Names Similarity;Statistics;Descr. Lev. dist.;Readthedocs;GitHub badge;PyPI badge;Python lang. perc.;Other languages
jinja2;https://github.com/pallets/jinja;False;https://github.com/pallets/jinja;https://github.com/pallets/jinja;https://github.com/pallets/jinja;https://github.com/pallets/jinja;100%;False;1/6;Substring;True;11/1452;False;False;False;100.0%;
simplejson;https://github.com/simplejson/simplejson;False;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;100%;False;0/10;Equal;True;10/1414;True;True;False;59.8%;C (37.6%) - Batchfile (1.2%) - Other (1.4%)
cffi;https://github.com/cffi/cffi;False;https://github.com/python-cffi/release-doc;;https://github.com/cffi/cffi;;33%;False;4/4;Different;False;101/101;False;False;False;0%;
cryptography;https://github.com/pyca/cryptography;False;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;100%;False;0/12;Equal;True;20/1240;False;True;True;98.6%;Other (1.4%)
attrs;https://github.com/python-attrs/attrs;False;https://github.com/python-attrs/attrs;https://github.com/sponsors/hynek;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;66%;False;0/5;Equal;https://github.com/sponsors/hynek;58/1448;https://github.com/readthedocs/sphinx_rtd_theme;True;False;100.0%;
click;https://github.com/pallets/click;False;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;100%;False;0/5;Equal;True;17/1448;False;False;False;100.0%;
importlib-metadata;https://github.com/importlib-metadata/importlib-metadata;True;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;100%;True;1/18;Different;True;0/852;True;True;True;100.0%;
pyasn1-modules;https://github.com/etingof/pyasn1-modules;False;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;100%;False;0/14;Equal;True;390/508;False;False;True;100.0%;
future;https://github.com/future/future;True;https://github.com/pythoncharmers/python-future;;;https://github.com/pythoncharmers/python-future;33%;True;7/13;Substring;False;1035/1469;False;False;False;100.0%;
zipp;https://github.com/jaraco/zipp;False;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;100%;False;0/4;Equal;True;0/74;False;True;True;100.0%;
pandas;https://github.com/pandas-dev/pandas;False;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;100%;False;0/6;Equal;True;858/1472;False;False;True;95.4%;HTML (2.5%) - C (2.0%) - Shell (0.1%) - Smarty (0.0%) - Dockerfile (0.0%)
pyparsing;https://github.com/pyparsing/pyparsing;False;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;66%;False;0/9;Equal;True;10/1463;https://github.com/bitprophet/alabaster;True;False;99.8%;Other (0.2%)
cachetools;https://github.com/tkem/cachetools;False;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;66%;False;0/10;Equal;True;23/1458;https://github.com/readthedocs/sphinx_rtd_theme;True;True;100.0%;
pycparser;https://github.com/eliben/pycparser;False;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;100%;False;0/9;Equal;True;1267/1442;False;False;False;87.5%;C (11.2%) - C++ (1.2%) - Other (0.1%)
oauthlib;https://github.com/oauthlib/oauthlib;False;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;100%;False;0/8;Equal;True;102/1460;https://github.com/readthedocs/sphinx_rtd_theme;True;True;99.6%;Makefile (0.4%)
google-auth;https://github.com/googleapis/google-auth-library-python;False;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;100%;False;15/26;Substring;True;27/964;False;False;True;96.8%;Shell (2.9%) - Dockerfile (0.3%)
requests-oauthlib;https://github.com/requests/requests-oauthlib;False;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;100%;False;0/17;Equal;True;38/1469;https://github.com/readthedocs/sphinx_rtd_theme;False;False;100.0%;
werkzeug;https://github.com/pallets/werkzeug;False;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;100%;False;0/8;Equal;True;54/1466;https://github.com/grahamdumpleton/wsgiorg;False;False;98.5%;Other (1.5%)
decorator;https://github.com/micheles/decorator;False;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;100%;False;0/9;Equal;True;40/1459;False;False;False;99.6%;Other (0.4%)
scipy;https://github.com/scipy/scipy;False;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;100%;False;0/5;Equal;True;733/1391;False;False;True;51.6%;Fortran (19.2%) - C (17.4%) - C++ (11.5%) - TeX (0.2%) - CMake (0.1%)
packaging;https://github.com/pypa/packaging;False;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;100%;False;0/9;Equal;True;182/1446;False;False;False;99.3%;Other (0.7%)
google-api-core;https://github.com/googleapis/python-api-core;False;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;100%;False;6/15;Different;True;40/324;False;False;True;94.5%;Shell (5.0%) - Dockerfile (0.5%)
wcwidth;https://github.com/jquast/wcwidth;False;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;100%;False;0/7;Equal;True;20/1452;False;False;True;100.0%;
more-itertools;https://github.com/more-itertools/more-itertools;False;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;100%;False;0/14;Equal;True;25/1384;https://github.com/readthedocs/sphinx_rtd_theme;False;False;100.0%;
grpcio;https://github.com/grpc/grpc;False;;;https://github.com/grpc/grpc;https://github.com/grpc/grpc;33%;False;2/6;Substring;False;1181/1464;False;False;False;12.5%;C++ (46.1%) - C (17.5%) - C# (8.6%) - Ruby (3.7%) - Objective-C (2.3%) - Other (9.3%)
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos;False;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;100%;False;8/24;Different;True;25/182;False;False;True;94.8%;Shell (4.6%) - Dockerfile (0.6%)
pytest;https://github.com/pytest-dev/pytest;False;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;100%;False;0/6;Equal;True;7/1438;False;True;True;100.0%;
jsonschema;https://github.com/julian/jsonschema;False;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;100%;False;0/10;Equal;True;342/1446;True;True;True;99.3%;JavaScript (0.7%)
