Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position
jinja2;https://github.com/pallets/jinja;https://github.com/pallets/jinja;;;https://github.com/pallets/jinja;https://github.com/pallets/jinja;;;1/6;Substring;11/1452;False;100.0%;;TP(?)
simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;0/10;Equal;10/1414;False;59.8%;C (37.6%) - Batchfile (1.2%) - Other (1.4%);TP(?)
cffi;;;https://github.com/python-cffi/release-doc;;;;;;;;;;;;
cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;;https://github.com/pyca/cryptography;0/12;Equal;20/1240;True;98.6%;Other (1.4%);TP
attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/sponsors/hynek;https://github.com/hynek/characteristic;https://github.com/python-attrs/attrs;0/5;Equal;58/1448;False;100.0%;;TP(?)
click;https://github.com/pallets/click;https://github.com/pallets/click;;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;;;0/5;Equal;17/1448;False;100.0%;;TP(?)
importlib-metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;;;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;1/18;Different;0/852;True;100.0%;;TP
pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;;;0/14;Equal;390/508;True;100.0%;;TP
future;;;https://github.com/pythoncharmers/python-future;;;;;;;;;;;;
zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;;https://github.com/jaraco/zipp;0/4;Equal;0/74;True;100.0%;;TP
pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;;;0/6;Equal;858/1472;True;95.4%;HTML (2.5%) - C (2.0%) - Shell (0.1%) - Smarty (0.0%) - Dockerfile (0.0%);TP
pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;0/9;Equal;10/1463;False;99.8%;Other (0.2%);TP(?)
cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;0/10;Equal;23/1458;True;100.0%;;TP
pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;;;0/9;Equal;1267/1442;False;87.5%;C (11.2%) - C++ (1.2%) - Other (0.1%);
oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;;;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;0/8;Equal;102/1460;True;99.6%;Makefile (0.4%);TP
google-auth;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;;;15/26;Substring;27/964;True;96.8%;Shell (2.9%) - Dockerfile (0.3%);TP
requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;;0/17;Equal;38/1469;False;100.0%;;TP(?)
werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/grahamdumpleton/wsgiorg;;0/8;Equal;54/1466;False;98.5%;Other (1.5%);TP(?)
decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;;;0/9;Equal;40/1459;False;99.6%;Other (0.4%);TP(?)
scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;;0/5;Equal;733/1391;True;51.6%;Fortran (19.2%) - C (17.4%) - C++ (11.5%) - TeX (0.2%) - CMake (0.1%);TP
packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;;;0/9;Equal;182/1446;False;99.3%;Other (0.7%);TP(?)
google-api-core;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;;;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;;;6/15;Different;40/324;True;94.5%;Shell (5.0%) - Dockerfile (0.5%);TP
wcwidth;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;;;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;;;0/7;Equal;20/1452;True;100.0%;;TP
more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;;0/14;Equal;25/1384;False;100.0%;;TP(?)
grpcio;https://github.com/grpc/grpc;;;;;;;;2/6;Substring;1181/1464;False;12.5%;C++ (46.1%) - C (17.5%) - C# (8.6%) - Ruby (3.7%) - Objective-C (2.3%) - Other (9.3%);
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;;;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;;;8/24;Different;25/182;True;94.8%;Shell (4.6%) - Dockerfile (0.6%);TP
pytest;https://github.com/pytest-dev/pytest;;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;0/6;Equal;7/1438;True;100.0%;;TP
jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;;0/10;Equal;342/1446;True;99.3%;JavaScript (0.7%);TP
enum34;;;;;;;;;;;;;;;
google-cloud-core;https://github.com/googleapis/python-cloud-core;https://github.com/googleapis/python-cloud-core;;;https://github.com/googleapis/python-cloud-core;https://github.com/googleapis/python-cloud-core;;;6/17;Different;51/603;True;83.4%;Shell (15.0%) - Dockerfile (1.6%);TP
py;https://github.com/pytest-dev/py;;https://github.com/pytest-dev/py;;https://github.com/pytest-dev/py;;https://github.com/pytest-dev/py;https://github.com/pytest-dev/py;0/2;Equal;0/838;True;100.0%;;TP
pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;0/6;Equal;248/1423;True;100.0%;;TP
pygments;;;https://github.com/pygments/pygments;;;;;;;;;;;;
psutil;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;;;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;0/6;Equal;263/1430;True;61.4%;C (37.3%) - Other (1.3%);TP
flask;https://github.com/pallets/flask;https://github.com/pallets/flask;;https://github.com/pallets/flask;https://github.com/pallets/flask;https://github.com/pallets/flask;https://github.com/grahamdumpleton/wsgiorg;;0/5;Equal;105/1453;False;99.9%;Other (0.1%);TP(?)
pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;0/5;Equal;6/741;True;100.0%;;TP
