Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Final URL;Real URL
fabric;;;;;;;;;;https://github.com/fabric/fabric
pycairo;https://github.com/ldo/qahirah;;https://github.com/pygobject/pycairo;;https://github.com/ldo/qahirah;;https://github.com/pygobject/pycairo;;https://github.com/pygobject/pycairo;https://github.com/pygobject/pycairo
wasabi;https://github.com/explosion/thinc;;;https://github.com/ines/wasabi;https://github.com/explosion/thinc;;;https://github.com/ines/wasabi;https://github.com/ines/wasabi;https://github.com/ines/wasabi
gapic-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
pyxdg;;;https://github.com/takluyver/pyxdg;;;;;;https://github.com/takluyver/pyxdg;https://github.com/takluyver/pyxdg
proto-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
xlwt;;;https://github.com/python-excel/xlwt;;;;;https://github.com/python-excel/xlwt;https://github.com/python-excel/xlwt;https://github.com/python-excel/xlwt
pygobject;;;;;;;https://github.com/readthedocs/sphinx_rtd_theme;;https://github.com/readthedocs/sphinx_rtd_theme;https://github.com/gnome/pygobject 
expiringdict;;;;;;;;https://github.com/mailgun/expiringdict;https://github.com/mailgun/expiringdict;https://github.com/mailgun/expiringdict
tensorboard-plugin-wit;https://github.com/pair-code/what-if-tool;;;;https://github.com/pair-code/what-if-tool;;;;https://github.com/pair-code/what-if-tool;https://github.com/pair-code/what-if-tool
heapdict;;;https://github.com/danielstutzbach/heapdict;;;;;;https://github.com/danielstutzbach/heapdict;https://github.com/danielstutzbach/heapdict
tensorflow-gpu;https://github.com/tensorflow/tensorflow;;;;;https://github.com/tensorflow/tensorflow;;;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow
zict;;;;;;;;https://github.com/dask/zict;https://github.com/dask/zict;https://github.com/dask/zict
hyperopt;;;;;;;;;;https://github.com/hyperopt/hyperopt
geopandas;;;https://github.com/geopandas/geopandas;;;;;;https://github.com/geopandas/geopandas;https://github.com/geopandas/geopandas
webtest;;;https://github.com/pylons/webtest;;;;;;https://github.com/pylons/webtest;https://github.com/pylons/webtest
proto-google-cloud-datastore-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
anyjson;https://github.com/ask/carrot;;;;;;;;;
msal-extensions;https://github.com/azuread/microsoft-authentication-extensions-for-python;;;;https://github.com/azuread/microsoft-authentication-library-for-python;;https://github.com/azuread/microsoft-authentication-library-for-python;;https://github.com/azuread/microsoft-authentication-library-for-python;https://github.com/azuread/microsoft-authentication-extensions-for-python
googledatastore;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;;;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;;;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore
rospkg;;;https://github.com/ros-infrastructure/rospkg;;;;;;https://github.com/ros-infrastructure/rospkg;https://github.com/ros-infrastructure/rospkg
datashape;;;https://github.com/blaze/datashape;;;;;https://github.com/blaze/datashape;https://github.com/blaze/datashape;https://github.com/blaze/datashape
statistics;https://github.com/python/cpython;;;;https://github.com/digitalemagine/py-statistics;;;;https://github.com/digitalemagine/py-statistics;https://github.com/digitalemagine/py-statistics
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;;;;https://github.com/conda-forge/scikit-optimize-feedstock;;;https://github.com/scikit-optimize/scikit-optimize;https://github.com/conda-forge/scikit-optimize-feedstock;https://github.com/scikit-optimize/scikit-optimize
jupyterlab;https://github.com/jupyterlab/jupyterlab;;;;https://github.com/topics/jupyterlab-extension;;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab
theano;;;;;;;;;;https://github.com/theano/theano
cvxopt;;;;;;;;;;https://github.com/cvxopt/cvxopt
