Duplicated package name;Old GitHub URL
pyopenssl;https://github.com/pyca/cryptography
boto;https://github.com/boto/boto3
psycopg2;https://github.com/psycopg/psycopg2
yarl;https://github.com/aio-libs/multidict
azure-nspkg;https://github.com/azure/azure-sdk-for-python
pycryptodome;https://github.com/legrandin/pycryptodome
smmap;https://github.com/gitpython-developers/smmap
gitdb;https://github.com/gitpython-developers/gitdb
azure-mgmt-resource;https://github.com/azure/azure-sdk-for-python
black;https://github.com/psf/black
azure-mgmt-storage;https://github.com/azure/azure-sdk-for-python
pytest-mock;https://github.com/ambv/black
azure-mgmt-containerregistry;https://github.com/azure/azure-sdk-for-python
azure-mgmt-keyvault;https://github.com/azure/azure-sdk-for-python
azure-mgmt-nspkg;https://github.com/azure/azure-sdk-for-python
service-identity;https://github.com/ambv/black
azure-mgmt-authorization;https://github.com/azure/azure-sdk-for-python
azure-graphrbac;https://github.com/azure/azure-sdk-for-python
azure-mgmt-compute;https://github.com/azure/azure-sdk-for-python
azure-mgmt-network;https://github.com/azure/azure-sdk-for-python
geoip2;https://github.com/maxmind/libmaxminddb
google-cloud;https://github.com/googlecloudplatform/google-cloud-python
azure-mgmt-sql;https://github.com/azure/azure-sdk-for-python
azure-mgmt-datalake-nspkg;https://github.com/azure/azure-sdk-for-python
python-http-client;https://github.com/sendgrid/python-http-client
azure-mgmt-rdbms;https://github.com/azure/azure-sdk-for-python
azure-batch;https://github.com/azure/azure-sdk-for-python
azure-mgmt-datalake-store;https://github.com/azure/azure-sdk-for-python
azure-mgmt-batch;https://github.com/azure/azure-sdk-for-python
azure-mgmt-cdn;https://github.com/azure/azure-sdk-for-python
azure-mgmt-cosmosdb;https://github.com/azure/azure-sdk-for-python
azure-cosmosdb-nspkg;https://github.com/azure/azure-cosmosdb-python
azure-storage;https://github.com/azure/azure-sdk-for-python
azure-mgmt-web;https://github.com/azure/azure-sdk-for-python
azure-storage-nspkg;https://github.com/azure/azure-storage-python
pika;https://github.com/invl/retry
azure-mgmt-containerservice;https://github.com/azure/azure-sdk-for-python
azure-mgmt-monitor;https://github.com/azure/azure-sdk-for-python
azure-servicebus;https://github.com/azure/azure-sdk-for-python
azure-mgmt-datalake-analytics;https://github.com/azure/azure-sdk-for-python
azure-mgmt-dns;https://github.com/azure/azure-sdk-for-python
azure-mgmt-devtestlabs;https://github.com/azure/azure-sdk-for-python
spacy;https://github.com/ambv/black
azure-mgmt-redis;https://github.com/azure/azure-sdk-for-python
azure-mgmt-iothub;https://github.com/azure/azure-sdk-for-python
azure-mgmt-cognitiveservices;https://github.com/azure/azure-sdk-for-python
azure-mgmt-trafficmanager;https://github.com/azure/azure-sdk-for-python
azure-mgmt-containerinstance;https://github.com/azure/azure-sdk-for-python
azure-mgmt-eventhub;https://github.com/azure/azure-sdk-for-python
azure-mgmt-loganalytics;https://github.com/azure/azure-sdk-for-python
azure-mgmt-recoveryservicesbackup;https://github.com/azure/azure-sdk-for-python
azure-mgmt-applicationinsights;https://github.com/azure/azure-sdk-for-python
azure-mgmt-media;https://github.com/azure/azure-sdk-for-python
azure-mgmt-reservations;https://github.com/azure/azure-sdk-for-python
azure-mgmt-servicefabric;https://github.com/azure/azure-sdk-for-python
azure-mgmt-servicebus;https://github.com/azure/azure-sdk-for-python
azure-mgmt-recoveryservices;https://github.com/azure/azure-sdk-for-python
azure-mgmt-marketplaceordering;https://github.com/azure/azure-sdk-for-python
discord;https://github.com/rapptz/discord.py
azure-mgmt-search;https://github.com/azure/azure-sdk-for-python
azure-mgmt-eventgrid;https://github.com/azure/azure-sdk-for-python
azure-mgmt-iothubprovisioningservices;https://github.com/azure/azure-sdk-for-python
azure-mgmt-msi;https://github.com/azure/azure-sdk-for-python
azure-mgmt-advisor;https://github.com/azure/azure-sdk-for-python
azure-mgmt-batchai;https://github.com/azure/azure-sdk-for-python
azure-mgmt-billing;https://github.com/azure/azure-sdk-for-python
azure-mgmt-consumption;https://github.com/azure/azure-sdk-for-python
azure-mgmt-relay;https://github.com/azure/azure-sdk-for-python
azure-mgmt-iotcentral;https://github.com/azure/azure-sdk-for-python
azure-mgmt-policyinsights;https://github.com/azure/azure-sdk-for-python
azure-mgmt-signalr;https://github.com/azure/azure-sdk-for-python
azure-mgmt-managementgroups;https://github.com/azure/azure-sdk-for-python
azure-mgmt-datamigration;https://github.com/azure/azure-sdk-for-python
wasabi;https://github.com/explosion/thinc
azure-mgmt-maps;https://github.com/azure/azure-sdk-for-python
azure-storage-file;https://github.com/azure/azure-storage-python
gapic-google-cloud-logging-v2;https://github.com/googleapis/googleapis
proto-google-cloud-logging-v2;https://github.com/googleapis/googleapis
azure;https://github.com/azure/azure-sdk-for-python
pip-tools;https://github.com/pre-commit/pre-commit
azure-loganalytics;https://github.com/azure/azure-sdk-for-python
ppft;https://github.com/uqfoundation/pathos
azure-mgmt-datafactory;https://github.com/azure/azure-sdk-for-python
azure-servicefabric;https://github.com/azure/azure-sdk-for-python
azure-servicemanagement-legacy;https://github.com/azure/azure-sdk-for-python
azure-mgmt;https://github.com/azure/azure-sdk-for-python
azure-mgmt-logic;https://github.com/azure/azure-sdk-for-python
structlog;https://github.com/psf/black
azure-mgmt-scheduler;https://github.com/azure/azure-sdk-for-python
azure-eventgrid;https://github.com/azure/azure-sdk-for-python
azure-mgmt-notificationhubs;https://github.com/azure/azure-sdk-for-python
azure-mgmt-subscription;https://github.com/azure/azure-sdk-for-python
azure-mgmt-managementpartner;https://github.com/azure/azure-sdk-for-python
azure-mgmt-commerce;https://github.com/azure/azure-sdk-for-python
azure-mgmt-powerbiembedded;https://github.com/azure/azure-sdk-for-python
azure-mgmt-hanaonazure;https://github.com/azure/azure-sdk-for-python
azure-mgmt-machinelearningcompute;https://github.com/azure/azure-sdk-for-python
azure-cli-core;https://github.com/azure/azure-cli
azure-mgmt-devspaces;https://github.com/azure/azure-sdk-for-python
cognite-sdk;https://github.com/ambv/black
azure-applicationinsights;https://github.com/azure/azure-sdk-for-python
azure-cosmos;https://github.com/azure/azure-sdk-for-python
certbot;https://github.com/letsencrypt/letsencrypt
google-cloud-language;https://github.com/googlecloudplatform/google-cloud-python
letsencrypt;https://github.com/letsencrypt/letsencrypt
certbot-apache;https://github.com/letsencrypt/letsencrypt
flask-appbuilder;https://github.com/psf/black
proto-google-cloud-datastore-v1;https://github.com/googleapis/googleapis
azure-kusto-ingest;https://github.com/azure/azure-kusto-python
certbot-nginx;https://github.com/letsencrypt/letsencrypt
msal-extensions;https://github.com/azuread/microsoft-authentication-library-for-python
sanic;https://github.com/ambv/black
cssselect2;https://github.com/html5lib/html5lib-python
azure-cli-nspkg;https://github.com/azure/azure-cli
azure-cli-telemetry;https://github.com/azure/azure-cli
gapic-google-cloud-datastore-v1;https://github.com/googleapis/googleapis
tensorflow-tensorboard;https://github.com/tensorflow/tensorboard
opencv-contrib-python;https://github.com/skvark/opencv-python
tb-nightly;https://github.com/tensorflow/tensorboard
pyathenajdbc;https://github.com/psf/black
kafka;https://github.com/dpkp/kafka-python
pyathena;https://github.com/psf/black
azure-mgmt-hdinsight;https://github.com/azure/azure-sdk-for-python
azure-mgmt-netapp;https://github.com/azure/azure-sdk-for-python
altair;https://github.com/psf/black
phonenumberslite;https://github.com/daviddrysdale/python-phonenumbers
vsts;https://github.com/microsoft/vsts-python-api
azure-mgmt-sqlvirtualmachine;https://github.com/azure/azure-sdk-for-python
azure-mgmt-deploymentmanager;https://github.com/azure/azure-sdk-for-python
azure-mgmt-appconfiguration;https://github.com/azure/azure-sdk-for-python
django-compressor;https://github.com/html5lib/html5lib-python
brotlipy;https://github.com/google/brotli
azure-mgmt-security;https://github.com/azure/azure-sdk-for-python
azure-mgmt-kusto;https://github.com/azure/azure-sdk-for-python
azure-cli-command-modules-nspkg;https://github.com/azure/azure-cli
azure-mgmt-imagebuilder;https://github.com/azure/azure-sdk-for-python
azure-mgmt-privatedns;https://github.com/azure/azure-sdk-for-python
azure-mgmt-botservice;https://github.com/azure/azure-sdk-for-python
azure-mgmt-apimanagement;https://github.com/azure/azure-sdk-for-python
azure-mgmt-managedservices;https://github.com/azure/azure-sdk-for-python
opencv-python-headless;https://github.com/skvark/opencv-python
pyenchant;https://github.com/psf/black
gapic-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis
proto-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis
sagemaker;https://github.com/python/black
uszipcode;https://github.com/machu-gwu/
github3-py;https://github.com/kennethreitz/requests
azure-storage-file-datalake;https://github.com/azure/azure-sdk-for-python
ur-rtde;https://github.com/pybind/pybind11
chart-studio;https://github.com/plotly/plotly.py
grpc-google-logging-v2;https://github.com/googleapis/googleapis
grpc-google-pubsub-v1;https://github.com/googleapis/googleapis
aws-encryption-sdk-cli;https://github.com/ambv/black
gax-google-logging-v2;https://github.com/googleapis/googleapis
gax-google-pubsub-v1;https://github.com/googleapis/googleapis
requirements-detector;https://github.com/landscapeio/requirements-detector
proto-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis
allure-pytest;https://github.com/allure-framework/allure-python
channels-redis;https://github.com/django/daphne
asyncssh;https://github.com/jedisct1/libsodium
twitter-common-dirutil;https://github.com/twitter/commons
azure-mgmt-redhatopenshift;https://github.com/azure/azure-sdk-for-python
twitter-common-options;https://github.com/twitter/commons
twitter-common-log;https://github.com/twitter/commons
implicit;https://github.com/spotify/annoy
path;https://github.com/jaraco/path
uplink;https://github.com/ambv/black
elasticsearch6;https://github.com/elastic/elasticsearch-py
elasticsearch5;https://github.com/elastic/elasticsearch-py
oss2;https://github.com/kennethreitz/requests
twitter-common-collections;https://github.com/twitter/commons
azure-mgmt-servermanager;https://github.com/azure/azure-sdk-for-python
nose-parameterized;https://github.com/wolever/parameterized
django-imagekit;https://github.com/fish2000/instakit
python-geoip-geolite2;https://github.com/mitsuhiko/python-geoip
aws-cdk-cx-api;https://github.com/aws/aws-cdk
azure-mgmt-documentdb;https://github.com/azure/azure-sdk-for-python
aws-cdk-aws-iam;https://github.com/aws/aws-cdk
aws-cdk-region-info;https://github.com/aws/aws-cdk
opencv-contrib-python-headless;https://github.com/skvark/opencv-python
aws-cdk-aws-kms;https://github.com/aws/aws-cdk
aliyun-python-sdk-core-v3;https://github.com/aliyun/aliyun-openapi-python-sdk
aws-cdk-aws-events;https://github.com/aws/aws-cdk
aws-cdk-aws-s3;https://github.com/aws/aws-cdk
aws-cdk-aws-ssm;https://github.com/aws/aws-cdk
dbt-postgres;https://github.com/fishtown-analytics/dbt
aws-cdk-aws-cloudwatch;https://github.com/aws/aws-cdk
aws-cdk-assets;https://github.com/aws/aws-cdk
flask-redis;https://github.com/ambv/black
aws-cdk-aws-ec2;https://github.com/aws/aws-cdk
aws-cdk-aws-logs;https://github.com/aws/aws-cdk
agate-sql;https://github.com/wireservice/agate
agate-excel;https://github.com/wireservice/agate
agate-dbf;https://github.com/wireservice/agate
dbt;https://github.com/fishtown-analytics/dbt
aws-cdk-aws-sqs;https://github.com/aws/aws-cdk
neo4j-driver;https://github.com/neo4j/neo4j-python-driver
