Package name;Right URL;Useless;Old URL
urllib3;https://github.com/urllib3/urllib3;False;https://github.com/urllib3/urllib3
six;https://github.com/benjaminp/six;False;https://github.com/benjaminp/six
botocore;https://github.com/boto/botocore;False;https://github.com/boto/botocore
requests;https://github.com/psf/requests;False;https://github.com/psf/requests
python-dateutil;https://github.com/dateutil/dateutil;False;
certifi;https://github.com/certifi/python-certifi;False;https://github.com/certifi/python-certifi
s3transfer;https://github.com/boto/s3transfer;False;https://github.com/boto/s3transfer
idna;https://github.com/kjd/idna;False;https://github.com/kjd/idna
docutils;https://github.com/docutils/docutils;False;
chardet;https://github.com/chardet/chardet;False;https://github.com/chardet/chardet
pip;https://github.com/pypa/pip;False;https://github.com/pypa/pip
setuptools;https://github.com/pypa/setuptools;False;https://github.com/pypa/setuptools
pyyaml;https://github.com/yaml/pyyaml;False;https://github.com/yaml/pyyaml
jmespath;https://github.com/jmespath/jmespath.py;False;https://github.com/jmespath/jmespath.py
pyasn1;https://github.com/etingof/pyasn1;False;https://github.com/etingof/pyasn1
rsa;https://github.com/sybrenstuvel/python-rsa;False;https://github.com/sybrenstuvel/python-rsa
pytz;https://github.com/stub42/pytz;False;https://github.com/stub42/pytz
boto3;https://github.com/boto/boto3;False;https://github.com/boto/boto3
numpy;https://github.com/numpy/numpy;False;https://github.com/numpy/numpy
awscli;https://github.com/aws/aws-cli;False;
colorama;https://github.com/tartley/colorama;False;https://github.com/tartley/colorama
wheel;https://github.com/pypa/wheel;False;https://github.com/pypa/wheel
futures;https://github.com/agronholm/pythonfutures;False;https://github.com/agronholm/pythonfutures
markupsafe;https://github.com/pallets/markupsafe;False;https://github.com/pallets/markupsafe
protobuf;https://github.com/protocolbuffers/protobuf;False;https://github.com/protocolbuffers/protobuf
jinja2;https://github.com/pallets/jinja;False;https://github.com/pallets/jinja
simplejson;https://github.com/simplejson/simplejson;False;https://github.com/simplejson/simplejson
cffi;https://github.com/cffi/cffi;False;https://github.com/python-cffi/release-doc
cryptography;https://github.com/pyca/cryptography;False;https://github.com/pyca/cryptography
attrs;https://github.com/python-attrs/attrs;False;https://github.com/python-attrs/attrs
click;https://github.com/pallets/click;False;https://github.com/pallets/click
importlib-metadata;https://github.com/importlib-metadata/importlib-metadata;True;
pyasn1-modules;https://github.com/etingof/pyasn1-modules;False;https://github.com/etingof/pyasn1-modules
future;https://github.com/future/future;True;https://github.com/PythonCharmers/python-future
zipp;https://github.com/jaraco/zipp;False;https://github.com/jaraco/zipp
pandas;https://github.com/pandas-dev/pandas;False;https://github.com/pandas-dev/pandas
pyparsing;https://github.com/pyparsing/pyparsing;False;https://github.com/pyparsing/pyparsing
cachetools;https://github.com/tkem/cachetools;False;https://github.com/tkem/cachetools
pycparser;https://github.com/eliben/pycparser;False;https://github.com/eliben/pycparser
oauthlib;https://github.com/oauthlib/oauthlib;False;https://github.com/oauthlib/oauthlib
google-auth;https://github.com/googleapis/google-auth-library-python;False;https://github.com/googleapis/google-auth-library-python
requests-oauthlib;https://github.com/requests/requests-oauthlib;False;https://github.com/requests/requests-oauthlib
werkzeug;https://github.com/pallets/werkzeug;False;https://github.com/pallets/werkzeug
decorator;https://github.com/micheles/decorator;False;https://github.com/micheles/decorator
scipy;https://github.com/scipy/scipy;False;https://github.com/scipy/scipy
packaging;https://github.com/pypa/packaging;False;https://github.com/pypa/packaging
google-api-core;https://github.com/googleapis/python-api-core;False;https://github.com/googleapis/python-api-core
wcwidth;https://github.com/jquast/wcwidth;False;https://github.com/jquast/wcwidth
more-itertools;https://github.com/more-itertools/more-itertools;False;https://github.com/more-itertools/more-itertools
grpcio;https://github.com/grpc/grpc;False;
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos;False;https://github.com/googleapis/python-api-common-protos
pytest;https://github.com/pytest-dev/pytest;False;https://github.com/pytest-dev/pytest
jsonschema;https://github.com/Julian/jsonschema;False;https://github.com/Julian/jsonschema
enum34;https://github.com/enum34/enum34;True;
google-cloud-core;https://github.com/googleapis/python-cloud-core;False;https://github.com/googleapis/python-cloud-core
py;https://github.com/pytest-dev/py;False;https://github.com/pytest-dev/py
pluggy;https://github.com/pytest-dev/pluggy;False;https://github.com/pytest-dev/pluggy
pygments;https://github.com/pygments/pygments;False;https://github.com/pygments/pygments
psutil;https://github.com/giampaolo/psutil;False;https://github.com/giampaolo/psutil
flask;https://github.com/pallets/flask;False;https://github.com/pallets/flask
pyjwt;http://github.com/jpadilla/pyjwt;False;http://github.com/jpadilla/pyjwt
coverage;https://github.com/nedbat/coveragepy;False;https://github.com/nedbat/coveragepy
scikit-learn;https://github.com/scikit-learn/scikit-learn;False;https://github.com/scikit-learn/scikit-learn
pyrsistent;https://github.com/tobgu/pyrsistent;False;http://github.com/tobgu/pyrsistent
itsdangerous;https://github.com/pallets/itsdangerous;False;https://github.com/pallets/itsdangerous
wrapt;https://github.com/GrahamDumpleton/wrapt;False;https://github.com/GrahamDumpleton/wrapt
pillow;https://github.com/python-pillow/Pillow;False;https://github.com/python-pillow/Pillow
google-cloud-storage;https://github.com/googleapis/python-storage;False;https://github.com/googleapis/python-storage
virtualenv;https://github.com/pypa/virtualenv;False;https://github.com/pypa/virtualenv
ipaddress;https://github.com/phihag/ipaddress;False;https://github.com/phihag/ipaddress
websocket-client;https://github.com/websocket-client/websocket-client;False;https://github.com/websocket-client/websocket-client.git
sqlalchemy;https://github.com/sqlalchemy/sqlalchemy;False;https://github.com/sqlalchemy/sqlalchemy
entrypoints;https://github.com/takluyver/entrypoints;False;https://github.com/takluyver/entrypoints
