Vuln ID;Package name;Clone dir;Commit url;Commit hash
11;rtslib-fb;rtslib-fb;https://github.com/open-iscsi/rtslib-fb/commit/23615c4a0765c507fed68b83d5311650d3b03e9a;23615c4a0765c507fed68b83d5311650d3b03e9a
43;salt;salt;https://github.com/saltstack/salt/commit/4f0915c536f21c31a3a5b4c038efad373ade67a4;4f0915c536f21c31a3a5b4c038efad373ade67a4
45;salt;salt;https://github.com/saltstack/salt/commit/c59ae9a82cd600859b76809aeb14367f86abaf0e;c59ae9a82cd600859b76809aeb14367f86abaf0e
5;starlette;starlette;https://github.com/encode/starlette/commit/e611476cb7993024ef879ba3af697fa5e387ea9e;e611476cb7993024ef879ba3af697fa5e387ea9e
41;tornado;tornado;https://github.com/tornadoweb/tornado/commit/56053c6c023fa25ebd389ac361a459b18e7ca535;56053c6c023fa25ebd389ac361a459b18e7ca535
36;twisted;twisted;https://github.comhttps://github.com/twisted/twisted/commit/05556b6ca14a49e4c7f3b5e8ede83137b869926e;05556b6ca14a49e4c7f3b5e8ede83137b869926e
50;twisted;twisted;https://github.com/twisted/twisted/commit/3853ab613d17983638b6039e0878104f9ee1ba92;3853ab613d17983638b6039e0878104f9ee1ba92
40;urllib3;urllib3;https://github.com/urllib3/urllib3/commit/560bd227b90f74417ffaedebf5f8d05a8ee4f532;560bd227b90f74417ffaedebf5f8d05a8ee4f532
18;werkzeug;werkzeug;https://github.com/pallets/werkzeug/commit/4baf7f2580aef7040ab4b420690d16084901fd41;4baf7f2580aef7040ab4b420690d16084901fd41
48;werkzeug;werkzeug;https://github.com/pallets/werkzeug/commit/1034edc7f901dd645ec6e462754111b39002bd65;1034edc7f901dd645ec6e462754111b39002bd65
