Package name;Clone url
pastescript;https://github.com/cdent/pastescript.git
pdoc3;https://github.com/pdoc3/pdoc.git
peewee;https://github.com/coleifer/peewee.git
peppercorn;https://github.com/Pylons/peppercorn.git
pillow;https://github.com/uploadcare/pillow-simd.git
pip;https://github.com/pypa/pipfile.git
platformio;https://github.com/platformio/platformio-core.git
postfix-mta-sts-resolver;https://github.com/post/post.git
priority;https://github.com/priority/priority.git
protobuf;https://github.com/protocolbuffers/protobuf.git
psutil;https://github.com/giampaolo/psutil.git
pyarrow;https://github.com/apache/arrow.git
py-bcrypt;https://github.com/pytest-dev/py.git
pycares;http://github.com/saghul/pycares.git
pycrypto;https://github.com/Legrandin/pycryptodome.git
pycryptodome;https://github.com/Legrandin/pycryptodome.git
pyftpdlib;https://github.com/giampaolo/pyftpdlib.git
pyinstaller;https://github.com/pyinstaller/pyinstaller.git
pyjwt;http://github.com/jpadilla/pyjwt.git
pykerberos;https://github.com/pykerberos/pykerberos.git
pykmip;https://github.com/OpenKMIP/PyKMIP.git
pylint;https://github.com/PyCQA/pylint-django.git
py-mini-racer;https://github.com/pytest-dev/py.git
pymongo;http://github.com/mongodb/mongo-python-driver.git
pypiserver;https://github.com/pypiserver/pypiserver.git
pyramid;https://github.com/pylons/pyramid.git
pyramid-odesk;https://github.com/pylons/pyramid.git
pyro;https://github.com/ros/genpy.git
pyro4;https://github.com/irmen/Pyro4.git
pysaml2;https://github.com/pysam-developers/pysam.git
pyspark;https://github.com/jamespic/pyspark-flame.git
pytest-qt-app;http://github.com/pytest-dev/pytest-qt.git
python-glanceclient;https://github.com/python-glanceclient/python-glanceclient.git
python-gnupg;https://github.com/vsajip/python-gnupg.git
python-jose;http://github.com/mpdavis/python-jose.git
python-keystoneclient;https://github.com/openstack/python-keystoneclient.git
python-qpid-proton;https://github.com/torosent/python-qpid-proton.git
python-saml;https://github.com/onelogin/python-saml.git
python-swiftclient;https://github.com/openstack/swift.git
pytorch-lightning;https://github.com/pytorch/pytorch.git
pyxdg;https://github.com/pyxdg/pyxdg.git
pyyaml;https://github.com/yaml/pyyaml.git
recurly;https://github.com/recurly/recurly-client-python.git
reportlab;https://github.com/reportlab/reportlab.git
reportlab2;https://github.com/reportlab/reportlab.git
reportlab-x;https://github.com/reportlab/reportlab.git
requests;https://github.com/request/request.git
requests-kerberos;https://github.com/request/request.git
rope;https://github.com/python-rope/rope.git
rply;https://github.com/alex/rply.git
rpyc;https://github.com/tomerfiliba/rpyc.git
rsa;https://github.com/sybrenstuvel/python-rsa.git
rsanic;https://github.com/sybrenstuvel/python-rsa.git
rtslib-fb;http://github.com/open-iscsi/rtslib-fb.git
salt;https://github.com/saltstack/salt.git
sanic;https://github.com/ashleysommer/sanic-cors.git
scapy;https://github.com/secdev/scapy.git
sceptre;https://github.com/cloudreach/sceptre.git
scipy;https://github.com/scipy/scipy.git
scrapy;https://github.com/scrapy-plugins/scrapy-crawlera.git
sentry;https://github.com/getsentry/sentry-python.git
setuptools;https://github.com/pypa/setuptools.git
sockjs-tornado;https://github.com/mrjoes/sockjs-tornado.git
sphinx;https://github.com/executablebooks/sphinx-tabs.git
splunk-sdk;http://github.com/splunk/splunk-sdk-python.git
sqlalchemy;https://github.com/Overseas-Student-Living/sqlalchemy-diff.git
starlette;https://github.com/encode/starlette.git
suds;https://github.com/suds/suds.git
supervisor;https://github.com/Supervisor/supervisor.git
svglib;https://github.com/deeplook/svglib.git
tablib;https://github.com/jazzband/tablib.git
tensorflow;https://github.com/tensorflow/tensorflow.git
tensorflow-cpu;https://github.com/tensorflow/tensorflow.git
tensorflow-gpu;https://github.com/tensorflow/tensorflow.git
textract;https://github.com/deanmalmgren/textract.git
tftpy;http://github.com/msoulier/tftpy.git
thrift;https://github.com/eleme/thriftpy.git
tlslite;https://github.com/moxie0/convergence.git
tlslite-ng;https://github.com/moxie0/convergence.git
