Vuln ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
106;pypiserver;pypiserver;1375a67c55a9b8d4619df30d2a1c0b239d7357e6;v1.2.6;2019-01-24;2019-01-26;2
43;pyramid;pyramid;d0f62591ceb2f6ba6efe98ccf75703e7baee687e;1.1a1;2011-05-27;2011-06-20;23
155;pyramid;pyramid;67efda77a878450c217b90370e1a47e2d35d772a;1.6a2;2015-04-19;2015-06-30;71
56;pysaml2;pysaml2;5e9d5acbcd8ae45c4e736ac521fd2df5b1c62e25;v5.0.0;2020-01-09;2020-01-13;4
143;pysaml2;pysaml2;79d679883f0b198511ea5eeaaf53f1f625e8d938;v4.6.0;2018-08-02;2018-08-07;5
83;pyspark;spark;09dd34cb1706f2477a89174d6a1a0f17ed5b0a65;v2.3.2;2018-09-13;2018-09-16;3
163;python-keystoneclient;python-keystoneclient;f2e0818b;0.2.4;2013-05-20;2013-05-28;8
207;python-keystoneclient;python-keystoneclient;8fe7a822d3fd9f435bb4a73a838b380659196cf7;0.2.4;2013-05-28;2013-05-28;0
51;pyyaml;pyyaml;5080ba513377b6355a0502104846ee804656f1e0;5.3.1;2020-03-17;2020-03-18;1
140;pyyaml;pyyaml;bbcf95fa051fdba9bbf879332e2f7999b195cf95;4.1;2017-08-26;2018-06-26;305
159;recurly;recurly-client-python;049c74699ce93cf126feff06d632ea63fba36742;2.6.2;2017-11-08;2017-11-08;0
129;requests;requests;c45d7c49ea75133e52ab22a8e9e13173938e36ff;v2.20.0;2018-09-14;2018-10-17;33
190;requests;requests;3bd8afbff29e50b38f889b2f688785a669b9aafc;v2.6.0;2015-03-14;2015-03-14;0
202;requests;requests;4d8cb3244e8e4f84b250c10a48e025f9a8bf6137;v2.3.0;2014-03-12;2014-05-16;64
203;requests;requests;f1893c835570d72823c970fbd6e0e42c13b1f0f2;v2.3.0;2014-01-31;2014-05-16;105
214;requests;requests;c3e6c41fc164d4348f8ce197bd0075aff05637af;v0.12.0;2012-04-12;2012-05-02;20
195;requests-kerberos;requests-kerberos;208bebb7008796a07be0204d9b5beaa55d2373ae;0.6;2014-11-04;2014-11-04;0
200;rply;rply;fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c;v0.7.1;2014-01-17;2014-01-17;0
31;rsa;python-rsa;93af6f2f89a9bf28361e67716c4240e691520f30;version-4.1;2020-06-03;2020-06-10;7
204;rsa;python-rsa;2310b34bdb530e0bad793d42f589c9f848ff181b;version-3.4;2016-01-22;2016-03-17;55
211;rsa;python-rsa;1681a0b2f84a4a252c71b87de870a2816de06fdf;version-3.4;2016-01-22;2016-03-17;55
142;salt;salt;6e34c2b5e5e849302af7ccd00509929c3809c658;v2016.11.4;2017-04-10;2017-04-14;4
147;salt;salt;22d2f7a1ec93300c34e8c42d14ec39d51e610b5c;v2014.7.4;2015-03-25;2015-03-30;5
90;scapy;scapy;0d7ae2b039f650a40e511d09eb961c782da025d9;v2.4.1;2018-05-11;2019-01-09;243
99;scapy;scapy;905c80d6ed435477224c53de8850f763b04d495d;v2.4.1;2018-05-11;2019-01-09;243
34;sceptre;sceptre;6d4124bdc9d4d5277c3f5cdc5eb7d6db9696b667;v2.3.0;2019-10-13;2020-02-03;115
98;scrapy;scrapy;43217fd698135b4795d191f8a935f3ba0b869c54;0.24.0;2014-04-01;2014-06-26;85
103;splunk-sdk;splunk-sdk-python;35ca7747b5eb327723a42053f57ea960c15892ce;1.6.7;2018-12-04;2019-09-12;283
22;sqlalchemy;sqlalchemy;d3ba45c00f83f7d57be5fb5caa7fb27f61624e28;rel_1_3_19;2020-07-21;2020-08-17;26
49;svglib;svglib;d6d08c4323a3656ee5ebe9a072a6e6237efde800;v0.9.4;2020-03-22;2020-03-22;0
7;tensorflow;tensorflow;d58c96946b2880991d63d1dacacb32f0a4dfa453;v2.4.0-rc0;2020-09-18;2020-11-01;43
9;tensorflow;tensorflow;0b5662bc2be13a8c8f044d925d87fb6e56247cd8;v2.4.0-rc0;2020-09-18;2020-11-01;43
10;tensorflow;tensorflow;204945b19e44b57906c9344c0d00120eeeae178a;v2.4.0-rc0;2020-09-18;2020-11-01;43
11;tensorflow;tensorflow;00302787b788c5ff04cb6f62aed5a74d936e86c0;v2.4.0-rc0;2020-09-18;2020-11-01;43
14;tensorflow;tensorflow;8ee24e7949a203d234489f9da2c5bf45a7d5157d;v2.4.0-rc0;2020-09-18;2020-11-01;43
37;tensorflow;tensorflow;49f73c55d56edffebde4bca4a407ad69c1cae433;v1.7.0-rc0;2018-02-14;2018-03-12;28
68;tensorflow;tensorflow;db4f9717c41bccc3ce10099ab61996b246099892;v2.0.0-rc0;2019-07-03;2019-08-22;49
86;tensorflow;tensorflow;c89ab82a82585cdaa90bf4911980e9e845909e78;v1.8.0-rc0;2018-04-09;2018-04-12;3
88;tensorflow;tensorflow;2006ef57602012939dc10d7e8961925b320d3ef6;v1.7.1;2018-04-17;2018-05-04;17
89;tensorflow;tensorflow;c48431588e7cf8aff61d4c299231e3e925144df8;v1.6.0-rc0;2018-01-30;2018-02-04;4
101;tensorflow;tensorflow;41335abb46f80ca644b5738550daef6136ba5476;v1.8.0-rc0;2018-03-19;2018-04-12;23
1;tensorflow-gpu;tensorflow;3ade2efec2e90c6237de32a19680caaa3ebc2845;v2.4.0-rc0;2020-08-25;2020-11-01;66
2;tensorflow-gpu;tensorflow;eccb7ec454e6617738554a255d77f08e60ee0808;v2.4.0-rc0;2020-10-19;2020-11-01;12
5;tensorflow-gpu;tensorflow;3cbb917b4714766030b28eba9fb41bb97ce9ee02;v2.4.0-rc0;2020-09-18;2020-11-01;43
6;tensorflow-gpu;tensorflow;22e07fb204386768e5bcbea563641ea11f96ceb8;v2.4.0-rc0;2020-09-18;2020-11-01;43
8;tensorflow-gpu;tensorflow;390611e0d45c5793c7066110af37c8514e6a6c54;v2.4.0-rc0;2020-09-18;2020-11-01;43
12;tensorflow-gpu;tensorflow;0462de5b544ed4731aa2fb23946ac22c01856b80;v2.4.0-rc0;2020-09-18;2020-11-01;43
