package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
azure-mgmt-subscription;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-trafficmanager;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-mgmt-web;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azureml;https://github.com/azure-samples/azure-machinelearning-clientlibrary-python;472170;;
azureml-sdk;https://github.com/azure/machinelearningnotebooks;2882134;;
azure-multiapi-storage;https://github.com/azure/azure-multiapi-storage-python;2880722;;
azure-nspkg;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-servicebus;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-servicefabric;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-servicemanagement-legacy;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-storage;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-storage-blob;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-storage-common;https://github.com/azure/azure-storage-python;56907207;2559;37
azure-storage-file;https://github.com/azure/azure-storage-python;56907207;2559;37
azure-storage-file-datalake;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
azure-storage-logging;https://github.com/michiya/azure-storage-logging;320374;;
azure-storage-nspkg;https://github.com/azure/azure-storage-python;56907207;2559;37
azure-storage-queue;https://github.com/azure/azure-sdk-for-python;83321574;1447;107
babel;https://github.com/python-babel/babel;57571909;;
babelfish;https://github.com/diaoul/babelfish;273569;255;16
backcall;https://github.com/takluyver/backcall;47450039;;
backoff;https://github.com/litl/backoff;16021501;;
backports-abc;https://github.com/cython/backports_abc;40318390;;
backports-csv;https://github.com/ryanhiebert/backports.csv;5563899;;
backports-functools-lru-cache;https://github.com/jaraco/backports.functools_lru_cache;47009533;;
backports-os;https://github.com/pidelport/backports.os;748053;;
backports-shutil-get-terminal-size;https://github.com/chrippa/backports.shutil_get_terminal_size;42326449;;
backports-tempfile;https://github.com/pidelport/backports.tempfile;8760561;;
backports-weakref;https://github.com/pidelport/backports.weakref;22737107;;
bagit;https://github.com/libraryofcongress/bagit-python;481932;189;20
bandit;https://github.com/pycqa/bandit;6711229;5804;364
base36;https://github.com/tonyseek/python-base36;439827;151;6
base58;https://github.com/keis/base58;2078193;;
base64io;https://github.com/aws/base64io-python;1483696;;
baselines;https://github.com/openai/baselines;365230;288;5
bashate;https://github.com/openstack/bashate;626868;;
bashlex;https://github.com/idank/bashlex;2576857;74;10
basictracer;https://github.com/opentracing/basictracer-python;5761033;;
bayesian-optimization;https://github.com/fmfn/bayesianoptimization;783417;620;43
bbcode;https://github.com/dcwatson/bbcode;334733;;
bcdoc;https://github.com/boto/bcdoc;363307;;
bcolz;https://github.com/blosc/bcolz;361201;1482;45
bcrypt;https://github.com/pyca/bcrypt;84371582;;
bdbag;https://github.com/fair-research/bdbag;300568;40;7
bdquaternions;https://github.com/bond-anton/bdquaternions;373850;;
beaker;https://github.com/bbangert/beaker;1522612;2565;130
beautifultable;https://github.com/pri22296/beautifultable;299993;;
behave;https://github.com/behave/behave;4498841;4544;118
behave-django;https://github.com/behave/behave-django;319596;;
bert-tensorflow;https://github.com/google-research/bert;491008;;
bfh;https://github.com/percolate/bfh;325966;;
bidict;https://github.com/jab/bidict;2944995;;
bigquery-python;https://github.com/tylertreat/bigquery-python;275723;47;2
bigquery-schema-generator;https://github.com/bxparks/bigquery-schema-generator;311379;16;2
billiard;https://github.com/celery/billiard;28155445;29351;103
binary;https://github.com/ofek/binary;660571;;
binaryornot;https://github.com/audreyfeldroy/binaryornot;6981189;;
bingads;https://github.com/bingads/bingads-python-sdk;1572506;28;4
binpacking;https://github.com/benmaier/binpacking;549318;;
bioblend;https://github.com/galaxyproject/bioblend;366592;;
biopython;https://github.com/biopython/biopython;1419122;5624;1046
bitarray;https://github.com/ilanschnell/bitarray;5386016;17315;171
bitmath;https://github.com/tbielawa/bitmath;384549;;
bitstring;https://github.com/scott-griffiths/bitstring;3991001;1981;172
bitstruct;https://github.com/eerimoq/bitstruct;447529;;
black;https://github.com/psf/black;24414941;47653;2802
blaze;https://github.com/blaze/blaze;577663;7534;15
bleach;https://github.com/mozilla/bleach;89058065;110977;646
blessed;https://github.com/jquast/blessed;3333783;4061;117
blessings;https://github.com/erikrose/blessings;18924988;4579;292
blinker;https://github.com/jek/blinker;16068135;63965;463
blis;https://github.com/explosion/cython-blis;9517716;;
blist;https://github.com/danielstutzbach/blist;786716;567;51
blobfile;https://github.com/christopher-hesse/blobfile;6855343;;
blobxfer;https://github.com/azure/blobxfer;373560;22;0
blockdiag;https://github.com/blockdiag/blockdiag;378166;369;33
bok-choy;https://github.com/edx/bok-choy;347544;;
bokeh;https://github.com/bokeh/bokeh;9490359;30897;531
boltons;https://github.com/mahmoud/boltons;5208639;1184;139
boto;https://github.com/boto/boto;100617412;59929;1076
boto3;https://github.com/boto/boto3;464866307;99498;4281
boto3-type-annotations;https://github.com/alliefitter/boto3_type_annotations;990866;;
boto3-type-annotations-with-docs;https://github.com/alliefitter/boto3_type_annotations;990866;;
botocore;https://github.com/boto/botocore;823324387;74636;946
bottle;https://github.com/bottlepy/bottle;19501879;14967;521
bottleneck;https://github.com/pydata/bottleneck;1985756;19794;109
bottlenose;https://github.com/lionheart/bottlenose;385611;;
bowler;https://github.com/facebookincubator/bowler;385680;;
boxsdk;https://github.com/box/box-python-sdk;1966896;280;12
bpemb;https://github.com/bheinzerling/bpemb;329404;360;5
bpython;https://github.com/bpython/bpython;498684;;
braintree;https://github.com/braintree/braintree_python;1222554;2710;19
branca;https://github.com/python-visualization/branca;3202042;;
