Package name;Clone url
twine;https://github.com/pypa/twine.git
twisted;https://github.com/twisted/twisted.git
ua-parser;https://github.com/ua-parser/uap-python.git
urllib3;https://github.com/urllib3/urllib3.git
wagtail;https://github.com/wagtail/wagtail.git
waitress;https://github.com/pylons/waitress.git
webargs;https://github.com/marshmallow-code/webargs.git
webob;https://github.com/pylons/webob.git
websocket-client;https://github.com/websocket-client/websocket-client.git
websockets;https://github.com/aaugustin/websockets.git
werkzeug;https://github.com/pallets/werkzeug.git
