package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
behave-django;https://github.com/behave/behave-django;319596;312;
bert-tensorflow;https://github.com/google-research/bert;491008;;
betamax;https://github.com/sigmavirus24/betamax;350261;402;45
bfh;https://github.com/percolate/bfh;325966;;
bidict;https://github.com/jab/bidict;2944995;893;81
bigquery-python;https://github.com/tylertreat/BigQuery-Python;275723;39;2
bigquery-schema-generator;https://github.com/bxparks/bigquery-schema-generator;311379;12;1
billiard;https://github.com/celery/billiard;28155445;22943;89
binary;https://github.com/ofek/binary;660571;;
binaryornot;https://github.com/audreyr/binaryornot;6981189;;
bindep;https://github.com/bindep/bindep;711122;;
bingads;https://github.com/BingAds/BingAds-Python-SDK;1572506;24;4
binpacking;https://github.com/benmaier/binpacking;549318;;
bioblend;https://github.com/galaxyproject/bioblend;366592;;16
biopython;https://github.com/biopython/biopython;1419122;4517;890
biplist;https://github.com/biplist/biplist;664489;;
bitarray;https://github.com/ilanschnell/bitarray;5386016;13658;147
bitmath;https://github.com/tbielawa/bitmath;384549;;24
bitstring;https://github.com/scott-griffiths/bitstring;3991001;1460;144
bitstruct;https://github.com/eerimoq/bitstruct;447529;103;21
blaze;https://github.com/blaze/blaze;577663;6867;15
bleach;https://github.com/mozilla/bleach;89058065;80865;521
blessed;https://github.com/jquast/blessed;3333783;3204;91
blessings;https://github.com/erikrose/blessings;18924988;3550;250
blinker;https://github.com/blinker/blinker;16068135;;
blis;https://github.com/explosion/cython-blis;9517716;;
blist;https://github.com/danielstutzbach/blist;786716;;
blobfile;https://github.com/christopher-hesse/blobfile;6855343;;
blobxfer;https://github.com/Azure/blobxfer;373560;17;0
blockdiag;https://github.com/blockdiag/blockdiag;378166;293;30
blosc;http://github.com/blosc/python-blosc;311728;826;41
bok-choy;http://github.com/edx/bok-choy;347544;;
bokeh;http://github.com/bokeh/bokeh;9490359;24357;422
boltons;https://github.com/mahmoud/boltons;5208639;821;114
boto3;https://github.com/boto/boto3;464866307;66663;3575
boto3-type-annotations;https://github.com/alliefitter/boto3_type_annotations;990866;;
botocore;https://github.com/boto/botocore;823324387;48987;814
bottle;https://github.com/bottle/bottle;19501879;;
bottleneck;https://github.com/pydata/bottleneck;1985756;13957;86
bottlenose;https://github.com/lionheart/bottlenose;385611;362;4
bowler;https://github.com/facebookincubator/bowler;385680;49;3
boxsdk;https://github.com/box/box-python-sdk;1966896;229;11
bpemb;https://github.com/bpemb/bpemb;329404;;
bpython;https://github.com/bpython/bpython;498684;3001;46
braintree;https://github.com/braintree/braintree_python;1222554;1942;18
branca;https://github.com/python-visualization/branca;3202042;2847;13
bravado;https://github.com/Yelp/bravado;824319;335;64
bravado-core;https://github.com/Yelp/bravado-core;1200972;291;25
breathe;https://github.com/michaeljones/breathe;537017;3100;15
brewer2mpl;https://github.com/jiffyclub/brewer2mpl;1589800;1086;56
brotli;https://github.com/google/brotli;6773018;2718;61
browsermob-proxy;https://github.com/browsermob-proxy/browsermob-proxy;510555;;
brunel;https://github.com/Brunel-Visualization/Brunel;2149175;;
bs4;https://github.com/bs4/bs4;33341985;;
bson;http://github.com/py-bson/bson;2041020;2729;123
btrees;https://github.com/zopefoundation/BTrees;724401;437;63
bugsnag;https://github.com/bugsnag/bugsnag;1262692;;
bump2version;https://github.com/c4urself/bump2version;1090894;2443;171
bumpversion;https://github.com/peritus/bumpversion;4662067;9784;653
bunch;http://github.com/dsc/bunch;1024711;627;97
business-duration;https://github.com/gnaneshwar441/Business_Duration;316235;;
bx-python;https://github.com/bxlab/bx-python;342190;160;31
bz2file;https://github.com/nvawda/bz2file;15086502;5066;
c7n;https://github.com/cloud-custodian/cloud-custodian;282320;;
cachecontrol;https://github.com/ionrock/cachecontrol;14789501;4759;330
cached-property;https://github.com/pydanny/cached-property;38293555;7589;396
cachelib;https://github.com/pallets/cachelib;813038;712;24
cachepath;https://github.com/haydenflinner/cachepath;372596;;
cachetools;https://github.com/tkem/cachetools;222701004;;
cachy;https://github.com/sdispater/cachy;6588192;;
cairocffi;https://github.com/Kozea/cairocffi;5536538;;
cairosvg;https://github.com/kozea/cairosvg;5244128;4179;91
callee;https://github.com/Xion/callee;464201;35;3
calmsize;https://github.com/Stonesjtu/calmsize;342418;;
caniusepython3;https://github.com/brettcannon/caniusepython3;621414;;3
capstone;https://github.com/capstone/capstone;2250972;;
captcha;https://github.com/lepture/captcha;274383;764;14
carbon;https://github.com/graphite-project/graphite-web;564017;46;2
case-conversion;https://github.com/AlejandroFrias/case-conversion;431753;;
cassandra-driver;http://github.com/datastax/python-driver;3641573;1825;108
castellan;https://github.com/castellan/castellan;482326;;
catalogue;https://github.com/explosion/catalogue;4984692;2774;11
catboost;https://github.com/catboost/catboost;2889104;;
categorical-distance;https://github.com/datamade/categorical-distance;390981;;
category-encoders;https://github.com/scikit-learn-contrib/category_encoders;1333571;;
catkin-pkg;https://github.com/catkin-pkg/catkin-pkg;6227886;;
cattrs;https://github.com/Tinche/cattrs;6065439;673;61
cbapi;https://github.com/carbonblack/cbapi-python;499463;;
cbor;https://github.com/cbor/cbor;469260;;
cbor2;https://github.com/agronholm/cbor2;1974752;;
cchardet;https://github.com/PyYoshi/cChardet;3786353;2937;209
cctx;https://github.com/cctx/cctx;446233;;
ccy;https://github.com/quantmind/ccy;1260709;;
celery;https://github.com/celery/celery;28916875;39301;1023
celery-once;https://github.com/cameronmaske/celery-once;292530;;
celery-redbeat;https://github.com/sibson/redbeat;470063;94;2
cement;https://github.com/datafolklabs/cement;3020979;4634;109
centrosome;https://github.com/CellProfiler/centrosome;602494;;
cerberus;https://github.com/pyeve/cerberus;11326739;7599;242
cerberus-python-client;https://github.com/Nike-Inc/cerberus-python-client;2179642;;
certifi;https://github.com/certifi/python-certifi;738148393;341662;2475
certipy;https://github.com/LLNL/certipy;409900;;
cffi;https://github.com/cffi/cffi;305360575;;
cfgv;https://github.com/asottile/cfgv;11199380;;
cfn-flip;https://github.com/awslabs/aws-cfn-template-flip;4983869;;
cfn-lint;https://github.com/aws-cloudformation/cfn-python-lint;9539306;768;14
cfscrape;https://github.com/Anorov/cloudflare-scrape;330844;1780;48
cftime;https://github.com/unidata/cftime;2429524;;
cgroupspy;https://github.com/cloudsigma/cgroupspy;286694;;
chainer;https://github.com/chainer/chainer;401081;1398;53
chainmap;https://github.com/chainmap/chainmap;590825;;
chalice;https://github.com/aws/chalice;576918;720;21
chameleon;https://github.com/malthe/chameleon;483595;;
channels;http://github.com/django/channels;2308185;8041;107
characteristic;https://github.com/hynek/characteristic;391340;;
chardet;https://github.com/chardet/chardet;655765806;318368;2008
chargebee;https://github.com/chargebee/chargebee;309575;;
check-manifest;https://github.com/mgedmin/check-manifest;1448330;1848;1596
checksumdir;http://github.com/cakepietoast/checksumdir;764332;;
cheetah;https://github.com/cheetah/cheetah;2597300;;
cheetah3;https://github.com/cheetahtemplate3/cheetah3;1083361;;
cheroot;https://github.com/cherrypy/cheroot;6222027;;
cherrypy;https://github.com/cherrypy/cherrypy;6099789;5661;281
chevron;https://github.com/noahmorrison/chevron;1703364;536;17
chromedriver;https://github.com/chromedriver/chromedriver;294500;;
circleci;https://github.com/levlaz/circleci.py;2032995;;
circuitbreaker;https://github.com/fabfuel/circuitbreaker;296494;29;4
circus;https://github.com/circus-tent/circus;295327;284;16
ciscoconfparse;https://github.com/mpenning/ciscoconfparse;272922;155;5
ciso8601;https://github.com/closeio/ciso8601;5037404;461;62
civis;https://github.com/civisanalytics/civis-python;1252247;26;7
claw;https://github.com/tictail/claw;318391;;
clearbit;https://github.com/clearbit/clearbit;333987;;
cleo;https://github.com/sdispater/cleo;6875618;;
click;https://github.com/pallets/click;264781935;327049;11513
clickclick;https://github.com/zalando/python-clickclick;4484634;1567;40
click-completion;https://github.com/click-contrib/click-completion;4130775;1013;80
click-default-group;https://github.com/sublee/click-default-group;540163;;
click-help-colors;https://github.com/r-m-n/click-help-colors;720545;290;38
clickhouse-cityhash;https://github.com/xzkostyan/python-cityhash;3002212;;
clickhouse-driver;https://github.com/mymarilyn/clickhouse-driver;3582905;131;16
click-log;https://github.com/click-contrib/click-log;1235918;640;159
click-plugins;https://github.com/click-contrib/click-plugins;8344066;3443;
click-spinner;https://github.com/click-contrib/click-spinner;528634;91;45
client;https://github.com/client/client;490994;;
cliff;https://github.com/openstack/cliff;5880961;;
cligj;https://github.com/mapbox/cligj;7569922;2995;
cli-helpers;https://github.com/dbcli/cli_helpers;721914;;
clikit;https://github.com/sdispater/clikit;5208351;;
clint;https://github.com/kennethreitz/clint;2207211;2229;303
cloudant;https://github.com/cloudant/python-cloudant;3946866;1025;23
cloudauthz;https://github.com/galaxyproject/cloudauthz;294501;;
cloudbridge;https://github.com/cloudbridge/cloudbridge;300590;;
cloudfoundry-client;http://github.com/antechrestos/cf-python-client;332329;31;
cloudinary;https://github.com/cloudinary/pycloudinary;614990;2127;17
cloudml-hypertune;http://github.com/GoogleCloudPlatform/cloudml-hypertune;502375;156;1
cloudpickle;https://github.com/cloudpipe/cloudpickle;49810089;24176;325
cloudscraper;https://github.com/venomous/cloudscraper;458351;208;14
cloudshell-automation-api;https://github.com/cloudshell-automation-api/cloudshell-automation-api;272168;;
cma;https://github.com/CMA-ES/pycma;426974;271;30
cmaes;https://github.com/CyberAgent/cmaes;373044;;
cmake;https://github.com/scikit-build/cmake-python-distributions;2727731;2482;64
cmake-format;https://github.com/cheshirekow/cmakelang;319433;;
cmarkgfm;https://github.com/jonparrott/cmarkgfm;898479;;
cmd2;https://github.com/python-cmd2/cmd2;5523120;1379;81
cmdstanpy;https://github.com/stan-dev/cmdstanpy;2084857;362;5
cmreshandler;https://github.com/cmanaha/python-elasticsearch-logger;338306;67;5
cmsis-pack-manager;https://github.com/cmsis-pack-manager/cmsis-pack-manager;281936;;
cmudict;https://github.com/prosegrinder/python-cmudict;1921758;;4
codacy-coverage;https://github.com/codacy/python-codacy-coverage;694539;;
code-annotations;https://github.com/edx/code-annotations;275049;;1
codecov;https://github.com/codecov/codecov-python;11603334;;
codespell;https://github.com/codespell-project/codespell;510651;124;13
codetiming;https://github.com/realpython/codetiming;844555;;
coffeehouse;https://github.com/coffeehouse/coffeehouse;333973;;
cognite-logger;https://github.com/cognite-logger/cognite-logger;649764;;
cognite-model-hosting;https://github.com/cognite-model-hosting/cognite-model-hosting;6221182;;
coincurve;https://github.com/ofek/coincurve;414074;634;
colander;https://github.com/Pylons/colander;993827;;
colcon-core;https://github.com/colcon/colcon-core;452707;;
colcon-test-result;https://github.com/colcon/colcon-test-result;395393;;
collectd;https://github.com/appliedsec/collectd;1138088;;
