package_name;ossgadget_url;old_url
uncompyle6;https://github.com/rocky/python-uncompyle6;http://github.com/rocky/python-decompile3
meinheld;https://github.com/mopemope/meinheld;http://github.com/joyent/http-parser
virtualenvwrapper-win;https://github.com/davidmarble/virtualenvwrapper-win;http://github.com/davidmarble/pywin
simpy;https://github.com/r-simmer/simmer;http://github.com/abeham/simsharp
django-versatileimagefield;https://github.com/respondcreate/django-versatileimagefield;http://github.com/wgbh/django-versatileimagefield
oic;https://github.com/openidc/pyoidc;http://github.com/rohe/
sockjs-tornado;https://github.com/mrjoes/sockjs-tornado;http://github.com/sockjs/sockjs-client
bdbag;https://github.com/fair-research/bdbag;http://github.com/libraryofcongress/bagit-python
zc-buildout;https://github.com/buildout/buildout;http://github.com/buildout/buildout.wheel
pytest-doctestplus;https://github.com/astropy/pytest-doctestplus;http://github.com/astropy/pytest-remotedata
tslearn;https://github.com/tslearn-team/tslearn;http://github.com/mblondel/soft-dtw
darglint;https://github.com/terrencepreilly/darglint;http://github.com/raddessi/sublimelinter-contrib-darglint
dawg-python;https://github.com/kmike/dawg-python;http://github.com/kmike/dawg
pyomo;https://github.com/pyomo/pyomo;http://github.com/pyomo/pyomogallery
