package_name;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
tryme;https://github.com/bryanwb/tryme;5;2017-09-24;0;217;0;0;;;;;
pyscaffold;https://github.com/pyscaffold/pyscaffold;859;2020-08-17;18;14;8;184;100;80;30;;
pypowervm;https://github.com/pypowervm/pypowervm;22;2019-11-29;20;60;3;6;0;;28;;
uncompyle6;https://github.com/rocky/python-uncompyle6;1855;2020-09-10;52;11;33;186;100;44;21;;
meinheld;https://github.com/mopemope/meinheld;1297;2020-06-23;5;102;19;49;48;393;17;455;9
virtualenvwrapper-win;https://github.com/davidmarble/virtualenvwrapper-win;406;2020-02-16;1;881;16;64;64;193;17;3671;0
simpy;https://github.com/simpx/simpy;1;2019-09-09;66;;0;0;;;11;;
django-versatileimagefield;https://github.com/respondcreate/django-versatileimagefield;425;2020-05-05;6;52;45;68;68;50;30;901;17
oic;https://github.com/openidc/pyoidc;519;2020-08-27;24;107;44;241;100;55;46;171;22
sockjs-tornado;https://github.com/mrjoes/sockjs-tornado;850;2020-04-24;1;1066;31;40;40;127;32;;
bdbag;https://github.com/fair-research/bdbag;38;2019-10-09;5;81;5;16;16;107;9;;
zc-buildout;https://github.com/buildout/buildout;491;2020-06-25;15;24;122;179;100;83;76;;
pytest-doctestplus;https://github.com/astropy/pytest-doctestplus;20;2020-07-31;19;83;25;39;39;147;31;;
tslearn;https://github.com/tslearn-team/tslearn;1281;2020-06-18;38;47;32;156;100;69;23;121;7
darglint;https://github.com/terrencepreilly/darglint;209;2020-08-31;11;25;28;72;72;26;13;126;17
dawg-python;https://github.com/kmike/dawg-python;41;2015-04-18;0;291;0;0;0;;;569;2
pyomo;https://github.com/pyomo/pyomo;770;2020-08-27;218;37;283;498;100;38;59;376;55
